SIDO_NM,CCG_NM,연결업종,confidence,amt_growth_pct_m,amt_robust_signs,real_amt_growth_pct_m,real_amt_robust_signs,cnt_growth_pct_m,cnt_robust_signs,ticket_growth_pct_m,ticket_robust_signs,amt_pc_growth_pct_m,amt_pc_robust_signs,real_amt_pc_growth_pct_m,real_amt_pc_robust_signs,cnt_pc_growth_pct_m,cnt_pc_robust_signs,가동_당월말_growth_pct_m,가동_당월말_robust_signs,amt_per_store_growth_pct_m,amt_per_store_robust_signs,real_amt_per_store_growth_pct_m,real_amt_per_store_robust_signs,cnt_per_store_growth_pct_m,cnt_per_store_robust_signs,initial_stores,openings_6m,closures_6m,total_cnt_6m,total_amt_6m,mean_amt_per_initial_store,mean_cnt_per_initial_store,opening_rate_6m_pct,closure_rate_6m_pct,net_store_change_pct,demand_supply_gap_cnt,demand_supply_type,market_store_type,market_store_type_robust,demand_supply_type_robust,population_growth_pct_m,commercial_aging_gap_pp_m,bc_age_hhi_slope,foreign_share_slope,corp_share_slope,industry_hhi_slope,entropy_slope,portfolio_js,cnt_weakened_fraction
강원특별자치도,강릉시,서양음식,MEDIUM,0.24004410007267923,0,-0.023084256259333018,0,2.8388192700603203,1,-2.527037152345299,1,0.2658875182998611,0.0,0.002691323448595494,0.0,2.865332692318338,1.0,-1.1604308893241198,1,1.416917335838029,1,1.1506997079188421,0,4.04620355528491,1,148,3,10,712923,10397840000,11709279.279279279,802.8412162162163,2.027027027027027,6.756756756756757,-4.72972972972973,3.99925015938444,수요+/공급-,D 기타·동반감소,부호 강건성 미충족,수요+/공급-,-0.025774886022407587,0.27671665394131145,5.2702391129634734e-05,0.08256691044395137,0.07883131718676477,0.0032895959758815823,-0.00502396070815001,0.01895751442901497,0.8
강원특별자치도,강릉시,스넥,MEDIUM,0.5014342255043344,0,0.23761972468102902,0,0.2997385294662241,0,0.2010929430078782,1,0.527345034108259,0.0,0.2634625178671489,0.0,0.32559733783136685,0.0,-0.338103830862413,1,0.8423861963673267,1,0.5776767026049643,1,0.6400062459640051,0,275,4,12,156085,2796610000,1694915.1515151516,94.59696969696971,1.4545454545454546,4.363636363636364,-2.909090909090909,0.6378423603286372,수요+/공급-,D 기타·동반감소,부호 강건성 미충족,부호 강건성 미충족,-0.025774886022407587,0.27671665394131145,5.2702391129634734e-05,0.08256691044395137,0.07883131718676477,0.0032895959758815823,-0.00502396070815001,0.01895751442901497,0.8
강원특별자치도,강릉시,일식회집,MEDIUM,3.382902600874117,1,3.11152429614149,1,4.131912681863535,1,-0.7192896602962815,0,3.409556296145743,1.0,3.1381080259308414,1.0,4.158759483402729,1.0,0.1078762778458357,0,3.271497153669048,1,3.0004112862799257,1,4.0197001011679765,1,80,3,3,64549,5749280000,11977666.666666668,134.47708333333333,3.75,3.75,0.0,4.0240364040177,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,-0.025774886022407587,0.27671665394131145,5.2702391129634734e-05,0.08256691044395137,0.07883131718676477,0.0032895959758815823,-0.00502396070815001,0.01895751442901497,0.8
강원특별자치도,강릉시,제과점,HIGH,-4.685042461388549,1,-4.593108064174172,1,-0.668342964765899,0,-4.0437254511900536,1,-4.660468805888918,1.0,-4.568510706579309,1.0,-0.6427337426330927,0.0,0.5934644530969102,1,-5.247365664542358,1,-5.155973646468244,1,-1.2543632180509592,1,142,21,16,135709,2113000000,2480046.9483568077,159.28286384976528,14.788732394366196,11.267605633802818,3.5211267605633805,-1.2618074178628094,수요-/공급+,C 총시장 감소/점포 증가,C 총시장 감소/점포 증가,부호 강건성 미충족,-0.025774886022407587,0.27671665394131145,5.2702391129634734e-05,0.08256691044395137,0.07883131718676477,0.0032895959758815823,-0.00502396070815001,0.01895751442901497,0.8
강원특별자치도,강릉시,중국음식,HIGH,-1.6861556321247553,1,-1.944227747968752,1,-0.16067474731495546,0,-1.5279358919433446,1,-1.6608088176821707,1.0,-1.918947468469165,1.0,-0.13493464054235746,0.0,-0.4013141058830082,1,-1.290018552662103,1,-1.5491305213866022,1,0.24160896944349786,1,160,1,6,64489,1830490000,1906760.4166666667,67.17604166666666,0.625,3.75,-3.125,0.24063935856805274,수요-/공급-,D 기타·동반감소,D 기타·동반감소,부호 강건성 미충족,-0.025774886022407587,0.27671665394131145,5.2702391129634734e-05,0.08256691044395137,0.07883131718676477,0.0032895959758815823,-0.00502396070815001,0.01895751442901497,0.8
강원특별자치도,강릉시,한식통합,MEDIUM,0.9689568880888764,1,0.7039151484823051,1,1.3355218837655776,1,-0.3617339594866985,1,0.9949882311938105,1.0,0.7298781597685263,1.0,1.361647732939157,1.0,0.3613838245347164,1,0.605385299007459,1,0.3412979284407701,0,0.9706303581205928,1,1973,184,138,811135,33826510000,2857451.4276060145,68.51959790505153,9.32589964521034,6.9944247339077545,2.331474911302585,0.9741380592308612,수요+/공급+,A 총시장·점포·점포당 증가,A 총시장·점포·점포당 증가,수요+/공급+,-0.025774886022407587,0.27671665394131145,5.2702391129634734e-05,0.08256691044395137,0.07883131718676477,0.0032895959758815823,-0.00502396070815001,0.01895751442901497,0.8
강원특별자치도,고성군,서양음식,MEDIUM,10.207378326943472,1,9.918085893214295,1,11.462387668512092,1,-1.1259487328595588,1,9.903641829440815,1.0,9.615146698686337,1.0,11.155192308748761,1.0,0.44062471755685245,0,9.723907668686001,1,9.435884336948847,1,10.973411388020436,1,19,1,1,93209,1657540000,14539824.56140351,817.6228070175439,5.263157894736842,5.263157894736842,0.0,11.021762950955239,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,0.27636618081687114,0.2935480652305992,0.00011170855081999283,0.22438133263856055,0.0949533207741559,0.003148737230039097,-0.006562830583038649,0.02913585766748206,0.125
강원특별자치도,고성군,스넥,MEDIUM,6.237693170450564,1,5.95882109058059,1,5.22488708705183,1,0.9625157236432446,1,5.944897304001097,1.0,5.666793808141361,1.0,4.934882559776701,1.0,0.6667848293299367,0,5.534008412571734,1,5.256983492839983,1,4.52791083518728,1,21,1,0,14807,325840000,2586031.746031746,117.51587301587303,4.761904761904762,0.0,4.761904761904762,4.558102257721893,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,0.27636618081687114,0.2935480652305992,0.00011170855081999283,0.22438133263856055,0.0949533207741559,0.003148737230039097,-0.006562830583038649,0.02913585766748206,0.125
강원특별자치도,고성군,일식회집,MEDIUM,17.81364284909336,1,17.504384104500026,1,24.3202088695511,1,-5.233715483284787,1,17.4889431440441,1.0,17.180536730477332,1.0,23.97757677554721,1.0,0.0,0,17.813642849093416,1,17.504384104500073,1,24.3202088695511,1,5,1,0,7222,680410000,22680333.333333336,240.73333333333335,20.0,0.0,20.0,24.3202088695511,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,0.27636618081687114,0.2935480652305992,0.00011170855081999283,0.22438133263856055,0.0949533207741559,0.003148737230039097,-0.006562830583038649,0.02913585766748206,0.125
강원특별자치도,고성군,제과점,HIGH,-0.48458241675794334,1,-0.38859653830500174,1,-5.2811776774805255,1,5.064035999508196,1,-0.7588513889730087,1.0,-0.6631300519235104,1.0,-5.542227017157888,1.0,-0.40153095783192055,0,-0.08338628065739492,0,0.012986564604190067,0,-4.899319002165243,1,17,1,3,7719,135620000,1329607.843137255,75.67647058823529,5.88235294117647,17.647058823529413,-11.76470588235294,-4.879646719648605,수요-/공급-,D 기타·동반감소,부호 강건성 미충족,부호 강건성 미충족,0.27636618081687114,0.2935480652305992,0.00011170855081999283,0.22438133263856055,0.0949533207741559,0.003148737230039097,-0.006562830583038649,0.02913585766748206,0.125
