SIDO_NM,CCG_NM,population_total,TP_BUZ_NM,store_count,TP_BUZ_NO,total_amt_6m,total_cnt_6m,amt_growth_pct_m,cnt_growth_pct_m,ticket_growth_pct_m,store_observed,stores_per_10k_residents,six_month_amt_per_store,six_month_cnt_per_store,cnt_per_resident_6m,mapped_store_total,national_store_count,store_lq,current_supply_position
강원특별자치도,강릉시,205666.0,대형할인점,0.0,4004.0,4517360000.0,101401.0,-6.0768645959975665,-4.377182166022783,-1.7774862407064718,False,0.0,,,0.4930372545778106,4261.0,0,,판정불가
강원특별자치도,강릉시,205666.0,편의점,377.0,4010.0,11125770000.0,1214052.0,3.3450625888364844,4.95823962415464,-1.5369703618265835,True,18.330691509534876,29511326.25994695,3220.297082228117,5.903027238337888,4261.0,54446,1.029696328108877,고특화·결제건수 증가
강원특별자치도,강릉시,205666.0,슈퍼마켓,320.0,4020.0,10557250000.0,332683.0,-0.3559079462610783,1.1445186295577727,-1.4834482344161026,True,15.559207647350558,32991406.25,1039.634375,1.6175887117948518,4261.0,63862,0.7451457959569607,저특화·결제건수 증가
강원특별자치도,강릉시,205666.0,일반한식,695.0,8001.0,33668980000.0,809386.0,0.9846415634713288,1.337913720056352,-0.348608081236919,True,33.7926541090895,48444575.53956834,1164.5841726618705,3.9354390127682746,4261.0,98173,1.0527531141096387,고특화·결제건수 증가
강원특별자치도,강릉시,205666.0,갈비전문점,416.0,8002.0,157530000.0,1749.0,-2.27352112283059,0.231671001917801,-2.499401735705322,True,20.226969941555726,378677.8846153846,4.204326923076923,0.00850407942975504,4261.0,61512,1.0056972796824108,고특화·결제건수 증가
강원특별자치도,강릉시,205666.0,한정식,1267.0,,,,,,,True,61.60473777872862,,,,4261.0,180762,1.0423252768266793,판정불가
강원특별자치도,강릉시,205666.0,일식회집,445.0,8004.0,5749280000.0,64549.0,3.382902600874117,4.131912681863535,-0.7192896602962815,True,21.63702313459687,12919730.337078651,145.05393258426966,0.31385352950900974,4261.0,44227,1.4962574378719817,고특화·결제건수 증가
강원특별자치도,강릉시,205666.0,중국음식,183.0,8005.0,1830490000.0,64489.0,-1.6861556321247553,-0.1606747473149554,-1.5279358919433446,True,8.8979218733286,10002677.595628416,352.39890710382514,0.3135617943656219,4261.0,31984,0.85084824153452,저특화·결제건수 감소
강원특별자치도,강릉시,205666.0,서양음식,143.0,8006.0,10397840000.0,712923.0,0.2400441000726792,2.8388192700603203,-2.527037152345299,True,6.953020917409781,72712167.83216783,4985.475524475524,3.466411560491282,4261.0,23100,0.9205721885092925,저특화·결제건수 증가
강원특별자치도,강릉시,205666.0,스넥,209.0,8021.0,2796610000.0,156085.0,0.5014342255043344,0.2997385294662241,0.2010929430078782,True,10.162107494675833,13380909.090909092,746.8181818181819,0.7589246642614725,4261.0,44410,0.6998408770317296,저특화·결제건수 증가
강원특별자치도,강릉시,205666.0,제과점,206.0,8301.0,2113000000.0,135709.0,-4.685042461388549,-0.668342964765899,-4.0437254511900536,True,10.016239922981923,10257281.553398058,658.7815533980582,0.6598514095669678,4261.0,31168,0.9828609440380663,저특화·결제건수 감소
강원특별자치도,고성군,27204.0,대형할인점,0.0,,,,,,,False,0.0,,,,758.0,0,,판정불가
강원특별자치도,고성군,27204.0,편의점,71.0,4010.0,1990270000.0,206381.0,9.14101046150209,10.513609744693223,-1.2420183236816205,True,26.099103073077487,28031971.830985915,2906.774647887324,7.586421114541979,758.0,54446,1.0901054003594082,고특화·결제건수 증가
강원특별자치도,고성군,27204.0,슈퍼마켓,83.0,4020.0,140000000.0,10443.0,11.9701982156871,13.357120348104567,-1.2234980283183332,True,30.510219085428613,1686746.9879518072,125.81927710843374,0.38387737097485664,758.0,63862,1.0864548880092622,고특화·결제건수 증가
강원특별자치도,고성군,27204.0,일반한식,146.0,8001.0,3566010000.0,72163.0,9.542514465167798,9.95251670264767,-0.3728902709782227,True,53.66857815027202,24424726.02739726,494.2671232876712,2.6526613733274518,758.0,98173,1.2431883009173912,고특화·결제건수 증가
