STRD_YYMM,source_file,시도,시군구,국세청업종,active_current,active_previous,active_mom_pct,active_yoy,active_yoy_pct,open_current,open_previous,open_mom_pct,open_yoy,open_yoy_pct,close_current,close_previous,close_mom_pct,close_yoy,close_yoy_pct,active_current_masked,active_previous_masked,active_mom_pct_masked,active_yoy_masked,active_yoy_pct_masked,open_current_masked,open_previous_masked,open_mom_pct_masked,open_yoy_masked,open_yoy_pct_masked,close_current_masked,close_previous_masked,close_mom_pct_masked,close_yoy_masked,close_yoy_pct_masked,TP_BUZ_NO,TP_BUZ_NM,mapping_confidence,mapping_limit,closure_intensity_pct,opening_intensity_pct,churn_intensity_pct,net_business_change
202601,월간 지역 경제지표(2026년 1월).xlsx,세종특별자치시,합계,제과점,168,171,-1.8,167,0.6,,,,,,,,,,,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,8301,제과점,HIGH,명칭 직접 대응,,,,
202601,월간 지역 경제지표(2026년 1월).xlsx,세종특별자치시,합계,중식음식점,197,194,1.5,195,1.0,,,,,,,,,,,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,8005,중국음식,HIGH,명칭상 직접 대응,,,,
202601,월간 지역 경제지표(2026년 1월).xlsx,세종특별자치시,합계,한식음식점,2327,2331,-0.2,2376,-2.1,35,32,9.4,28,25.0,36,49,-26.5,22,63.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8001,일반한식,MEDIUM_HIGH,BC 갈비전문점·한정식과 범위 중첩 가능,1.5444015444015444,1.5015015015015014,3.045903045903046,-1
202601,월간 지역 경제지표(2026년 1월).xlsx,광주광역시,합계,슈퍼마켓,741,742,-0.1,737,0.5,,,,,,,,,,,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,4020,슈퍼마켓,HIGH,명칭 직접 대응,,,,
202601,월간 지역 경제지표(2026년 1월).xlsx,광주광역시,합계,편의점,1284,1278,0.5,1317,-2.5,18,14,28.6,10,80.0,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,4010,편의점,HIGH,명칭 직접 대응,,1.4084507042253522,,
202601,월간 지역 경제지표(2026년 1월).xlsx,광주광역시,합계,분식점,1376,1375,0.1,1437,-4.2,21,16,31.3,14,50.0,14,35,-60.0,15,-6.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8021,스넥,MEDIUM_HIGH,BC 스넥 공식 범위 미공개,1.0181818181818183,1.5272727272727273,2.5454545454545454,7
202601,월간 지역 경제지표(2026년 1월).xlsx,광주광역시,합계,일식음식점,371,374,-0.8,367,1.1,,,,,,,,,,,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,8004,일식회집,MEDIUM_HIGH,BC 회집 범위와 차이 가능,,,,
202601,월간 지역 경제지표(2026년 1월).xlsx,광주광역시,합계,제과점,610,606,0.7,594,2.7,9,7,28.6,5,80.0,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,8301,제과점,HIGH,명칭 직접 대응,,1.4851485148514851,,
202601,월간 지역 경제지표(2026년 1월).xlsx,광주광역시,합계,중식음식점,526,524,0.4,538,-2.2,,,,,,,,,,,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,8005,중국음식,HIGH,명칭상 직접 대응,,,,
202601,월간 지역 경제지표(2026년 1월).xlsx,광주광역시,합계,한식음식점,10478,10483,0.0,10698,-2.1,151,157,-3.8,113,33.6,139,197,-29.4,86,61.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8001,일반한식,MEDIUM_HIGH,BC 갈비전문점·한정식과 범위 중첩 가능,1.325956310216541,1.440427358580559,2.7663836687971,12
202601,월간 지역 경제지표(2026년 1월).xlsx,전북특별자치도,합계,슈퍼마켓,1058,1049,0.9,1043,1.4,17,14,21.4,8,112.5,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,4020,슈퍼마켓,HIGH,명칭 직접 대응,,1.6205910390848426,,
202601,월간 지역 경제지표(2026년 1월).xlsx,전북특별자치도,합계,편의점,1640,1637,0.2,1688,-2.8,18,21,-14.3,15,20.0,10,16,-37.5,7,42.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4010,편의점,HIGH,명칭 직접 대응,0.6108735491753208,1.0995723885155773,1.7104459376908978,8
