SIDO_NM,CCG_NM,STRD_YYMM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,amt,cnt,supply_count,external_source,source_scope,amt_per_supply_proxy,cnt_per_supply_proxy
강원특별자치도,고성군,202605,4020,슈퍼마켓,31150000,2394,21.0,국세청,가동사업자,1483333.3333333333,114.0
강원특별자치도,고성군,202605,8005,중국음식,44970000,1591,26.0,LOCALDATA,식품인허가 영업점,1729615.3846153845,61.19230769230769
강원특별자치도,고성군,202605,8301,제과점,25040000,1303,17.0,LOCALDATA,식품인허가 영업점,1472941.1764705882,76.6470588235294
강원특별자치도,고성군,202606,4010,편의점,409420000,44317,72.0,국세청,가동사업자,5686388.888888889,615.5138888888889
강원특별자치도,고성군,202606,4020,슈퍼마켓,28000000,2210,21.0,국세청,가동사업자,1333333.3333333333,105.23809523809524
강원특별자치도,고성군,202606,8005,중국음식,36890000,1411,26.0,LOCALDATA,식품인허가 영업점,1418846.1538461538,54.26923076923077
강원특별자치도,고성군,202606,8301,제과점,22960000,1131,15.0,LOCALDATA,식품인허가 영업점,1530666.6666666667,75.4
강원특별자치도,동해시,202601,4010,편의점,704830000,72832,126.0,국세청,가동사업자,5593888.888888889,578.031746031746
강원특별자치도,동해시,202601,4020,슈퍼마켓,1245170000,39990,59.0,국세청,가동사업자,21104576.27118644,677.7966101694915
강원특별자치도,동해시,202601,8005,중국음식,171050000,5506,72.0,LOCALDATA,식품인허가 영업점,2375694.4444444445,76.47222222222223
강원특별자치도,동해시,202601,8301,제과점,103110000,7007,35.0,LOCALDATA,식품인허가 영업점,2946000.0,200.2
강원특별자치도,동해시,202602,4010,편의점,681430000,70119,126.0,국세청,가동사업자,5408174.603174604,556.5
강원특별자치도,동해시,202602,4020,슈퍼마켓,1208730000,37409,58.0,국세청,가동사업자,20840172.413793102,644.9827586206897
강원특별자치도,동해시,202602,8005,중국음식,172520000,5403,72.0,LOCALDATA,식품인허가 영업점,2396111.111111111,75.04166666666667
강원특별자치도,동해시,202602,8301,제과점,110670000,6963,34.0,LOCALDATA,식품인허가 영업점,3255000.0,204.7941176470588
강원특별자치도,동해시,202603,4010,편의점,705270000,72785,125.0,국세청,가동사업자,5642160.0,582.28
강원특별자치도,동해시,202603,4020,슈퍼마켓,1143470000,38889,58.0,국세청,가동사업자,19715000.0,670.5
강원특별자치도,동해시,202603,8005,중국음식,159020000,5299,72.0,LOCALDATA,식품인허가 영업점,2208611.111111111,73.59722222222223
강원특별자치도,동해시,202603,8301,제과점,101030000,6795,35.0,LOCALDATA,식품인허가 영업점,2886571.4285714286,194.14285714285714
강원특별자치도,동해시,202604,4010,편의점,736260000,76800,124.0,국세청,가동사업자,5937580.645161291,619.3548387096774
강원특별자치도,동해시,202604,4020,슈퍼마켓,1138430000,38872,59.0,국세청,가동사업자,19295423.72881356,658.8474576271186
강원특별자치도,동해시,202604,8005,중국음식,145540000,4797,72.0,LOCALDATA,식품인허가 영업점,2021388.888888889,66.625
강원특별자치도,동해시,202604,8301,제과점,98870000,6806,35.0,LOCALDATA,식품인허가 영업점,2824857.1428571427,194.45714285714286
강원특별자치도,동해시,202605,4010,편의점,840670000,87246,125.0,국세청,가동사업자,6725360.0,697.968
강원특별자치도,동해시,202605,4020,슈퍼마켓,1194400000,41035,59.0,국세청,가동사업자,20244067.79661017,695.5084745762712
강원특별자치도,동해시,202605,8005,중국음식,178010000,5583,72.0,LOCALDATA,식품인허가 영업점,2472361.111111111,77.54166666666667
강원특별자치도,동해시,202605,8301,제과점,107170000,7168,35.0,LOCALDATA,식품인허가 영업점,3062000.0,204.8
강원특별자치도,동해시,202606,4010,편의점,809630000,84846,123.0,국세청,가동사업자,6582357.723577236,689.8048780487804
강원특별자치도,동해시,202606,4020,슈퍼마켓,1174140000,39900,59.0,국세청,가동사업자,19900677.966101695,676.271186440678
강원특별자치도,동해시,202606,8005,중국음식,148710000,4886,72.0,LOCALDATA,식품인허가 영업점,2065416.6666666667,67.86111111111111
강원특별자치도,동해시,202606,8301,제과점,93970000,6674,34.0,LOCALDATA,식품인허가 영업점,2763823.529411765,196.2941176470588
강원특별자치도,삼척시,202601,4010,편의점,334250000,32909,96.0,국세청,가동사업자,3481770.8333333335,342.8020833333333
강원특별자치도,삼척시,202601,4020,슈퍼마켓,173730000,7261,37.0,국세청,가동사업자,4695405.405405405,196.24324324324326
강원특별자치도,삼척시,202601,8005,중국음식,55910000,1944,43.0,LOCALDATA,식품인허가 영업점,1300232.558139535,45.2093023255814
강원특별자치도,삼척시,202601,8301,제과점,42530000,2804,24.0,LOCALDATA,식품인허가 영업점,1772083.3333333333,116.83333333333333
강원특별자치도,삼척시,202602,4010,편의점,338560000,33036,95.0,국세청,가동사업자,3563789.4736842103,347.7473684210526
강원특별자치도,삼척시,202602,4020,슈퍼마켓,185950000,7326,36.0,국세청,가동사업자,5165277.777777778,203.5
강원특별자치도,삼척시,202602,8005,중국음식,54260000,1897,44.0,LOCALDATA,식품인허가 영업점,1233181.8181818181,43.11363636363637
강원특별자치도,삼척시,202602,8301,제과점,45210000,2799,24.0,LOCALDATA,식품인허가 영업점,1883750.0,116.625
강원특별자치도,삼척시,202603,4010,편의점,380100000,40989,95.0,국세청,가동사업자,4001052.6315789474,431.46315789473687
강원특별자치도,삼척시,202603,4020,슈퍼마켓,194980000,8653,37.0,국세청,가동사업자,5269729.72972973,233.86486486486487
강원특별자치도,삼척시,202603,8005,중국음식,60970000,2313,44.0,LOCALDATA,식품인허가 영업점,1385681.8181818181,52.56818181818182
강원특별자치도,삼척시,202603,8301,제과점,45020000,2908,24.0,LOCALDATA,식품인허가 영업점,1875833.3333333333,121.16666666666667
강원특별자치도,삼척시,202604,4010,편의점,407390000,44647,96.0,국세청,가동사업자,4243645.833333333,465.0729166666667
강원특별자치도,삼척시,202604,4020,슈퍼마켓,203730000,9416,36.0,국세청,가동사업자,5659166.666666667,261.55555555555554
강원특별자치도,삼척시,202604,8005,중국음식,56510000,2262,44.0,LOCALDATA,식품인허가 영업점,1284318.1818181819,51.40909090909091
강원특별자치도,삼척시,202604,8301,제과점,43860000,2925,24.0,LOCALDATA,식품인허가 영업점,1827500.0,121.875
강원특별자치도,삼척시,202605,4010,편의점,466470000,49536,95.0,국세청,가동사업자,4910210.52631579,521.4315789473684
강원특별자치도,삼척시,202605,4020,슈퍼마켓,224090000,10310,36.0,국세청,가동사업자,6224722.222222222,286.3888888888889
강원특별자치도,삼척시,202605,8005,중국음식,70630000,2503,44.0,LOCALDATA,식품인허가 영업점,1605227.2727272727,56.88636363636363
강원특별자치도,삼척시,202605,8301,제과점,48910000,3160,24.0,LOCALDATA,식품인허가 영업점,2037916.6666666667,131.66666666666666
강원특별자치도,삼척시,202606,4010,편의점,445650000,46894,95.0,국세청,가동사업자,4691052.631578947,493.62105263157895
강원특별자치도,삼척시,202606,4020,슈퍼마켓,207420000,9360,36.0,국세청,가동사업자,5761666.666666667,260.0
강원특별자치도,삼척시,202606,8005,중국음식,59700000,2316,44.0,LOCALDATA,식품인허가 영업점,1356818.1818181819,52.63636363636363
강원특별자치도,삼척시,202606,8301,제과점,42310000,2871,24.0,LOCALDATA,식품인허가 영업점,1762916.6666666667,119.625
강원특별자치도,속초시,202601,4010,편의점,1193950000,115969,165.0,국세청,가동사업자,7236060.606060606,702.8424242424243
강원특별자치도,속초시,202601,4020,슈퍼마켓,994600000,35305,51.0,국세청,가동사업자,19501960.784313727,692.2549019607843
강원특별자치도,속초시,202601,8005,중국음식,150240000,4970,54.0,LOCALDATA,식품인허가 영업점,2782222.222222222,92.03703703703704
강원특별자치도,속초시,202601,8301,제과점,200410000,12901,54.0,LOCALDATA,식품인허가 영업점,3711296.296296296,238.90740740740742
강원특별자치도,속초시,202602,4010,편의점,1150300000,113233,166.0,국세청,가동사업자,6929518.072289157,682.1265060240963
강원특별자치도,속초시,202602,4020,슈퍼마켓,942900000,33296,52.0,국세청,가동사업자,18132692.307692308,640.3076923076923
강원특별자치도,속초시,202602,8005,중국음식,139870000,4633,53.0,LOCALDATA,식품인허가 영업점,2639056.603773585,87.41509433962264
강원특별자치도,속초시,202602,8301,제과점,210800000,13380,54.0,LOCALDATA,식품인허가 영업점,3903703.703703704,247.77777777777777
강원특별자치도,속초시,202603,4010,편의점,1109240000,110164,166.0,국세청,가동사업자,6682168.674698795,663.6385542168674
강원특별자치도,속초시,202603,4020,슈퍼마켓,857790000,33765,54.0,국세청,가동사업자,15885000.0,625.2777777777778
강원특별자치도,속초시,202603,8005,중국음식,142570000,5091,53.0,LOCALDATA,식품인허가 영업점,2690000.0,96.05660377358491
강원특별자치도,속초시,202603,8301,제과점,182530000,12418,52.0,LOCALDATA,식품인허가 영업점,3510192.3076923075,238.80769230769232
강원특별자치도,속초시,202604,4010,편의점,1125250000,116391,166.0,국세청,가동사업자,6778614.457831325,701.1506024096385
강원특별자치도,속초시,202604,4020,슈퍼마켓,856230000,33490,55.0,국세청,가동사업자,15567818.181818182,608.9090909090909
강원특별자치도,속초시,202604,8005,중국음식,126960000,4751,51.0,LOCALDATA,식품인허가 영업점,2489411.7647058824,93.15686274509804
강원특별자치도,속초시,202604,8301,제과점,186990000,12862,52.0,LOCALDATA,식품인허가 영업점,3595961.5384615385,247.34615384615384
강원특별자치도,속초시,202605,4010,편의점,1325330000,135725,164.0,국세청,가동사업자,8081280.4878048785,827.5914634146342
강원특별자치도,속초시,202605,4020,슈퍼마켓,940050000,36017,55.0,국세청,가동사업자,17091818.181818184,654.8545454545455
강원특별자치도,속초시,202605,8005,중국음식,147100000,5109,51.0,LOCALDATA,식품인허가 영업점,2884313.725490196,100.17647058823529
강원특별자치도,속초시,202605,8301,제과점,222500000,14593,52.0,LOCALDATA,식품인허가 영업점,4278846.153846154,280.63461538461536
강원특별자치도,속초시,202606,4010,편의점,1269780000,131246,164.0,국세청,가동사업자,7742560.975609756,800.280487804878
강원특별자치도,속초시,202606,4020,슈퍼마켓,914070000,34778,56.0,국세청,가동사업자,16322678.57142857,621.0357142857143
강원특별자치도,속초시,202606,8005,중국음식,135430000,4767,51.0,LOCALDATA,식품인허가 영업점,2655490.1960784313,93.47058823529412
강원특별자치도,속초시,202606,8301,제과점,181240000,12299,52.0,LOCALDATA,식품인허가 영업점,3485384.6153846155,236.51923076923077
강원특별자치도,양구군,202601,4010,편의점,132370000,12187,23.0,국세청,가동사업자,5755217.391304348,529.8695652173913
강원특별자치도,양구군,202601,4020,슈퍼마켓,170390000,5693,14.0,국세청,가동사업자,12170714.285714285,406.64285714285717
강원특별자치도,양구군,202601,8005,중국음식,31550000,1042,23.0,LOCALDATA,식품인허가 영업점,1371739.1304347827,45.30434782608695
강원특별자치도,양구군,202601,8301,제과점,17150000,1035,6.0,LOCALDATA,식품인허가 영업점,2858333.3333333335,172.5
강원특별자치도,양구군,202602,4010,편의점,125020000,11062,23.0,국세청,가동사업자,5435652.173913044,480.95652173913044
강원특별자치도,양구군,202602,4020,슈퍼마켓,179720000,5539,14.0,국세청,가동사업자,12837142.857142856,395.64285714285717
강원특별자치도,양구군,202602,8005,중국음식,26770000,868,24.0,LOCALDATA,식품인허가 영업점,1115416.6666666667,36.166666666666664
강원특별자치도,양구군,202602,8301,제과점,20310000,1077,6.0,LOCALDATA,식품인허가 영업점,3385000.0,179.5
