SIDO_NM,CCG_NM,STRD_YYMM,amt,cnt,population_total,amt_per_registered_resident,cnt_per_registered_resident
강원특별자치도,정선군,202602,2023490000,93182,35001.0,57812.34821862233,2.662266792377361
강원특별자치도,정선군,202603,1979620000,91998,35053.0,56475.05206401734,2.6245399823124984
강원특별자치도,정선군,202604,2308320000,104975,35073.0,65814.72927893251,2.99304308157272
강원특별자치도,정선군,202605,2750770000,123353,35113.0,78340.5006692678,3.513029362344431
강원특별자치도,정선군,202606,2414870000,113707,35128.0,68744.8758824869,3.2369335003416078
강원특별자치도,철원군,202601,1496400000,63756,39953.0,37454.00845994043,1.5957750356669087
강원특별자치도,철원군,202602,1441820000,62036,39818.0,36210.256667838665,1.5579888492641518
강원특별자치도,철원군,202603,1501960000,67502,39802.0,37735.792171247675,1.6959449273905833
강원특별자치도,철원군,202604,1537990000,69000,39779.0,38663.36509213404,1.7345835742477187
강원특별자치도,철원군,202605,1845570000,79088,39727.0,46456.31434540741,1.9907871221083897
강원특별자치도,철원군,202606,1575470000,73010,39711.0,39673.39024451663,1.8385334038427639
강원특별자치도,춘천시,202601,12881380000,560348,284895.0,45214.48252865091,1.9668579652152547
강원특별자치도,춘천시,202602,12373820000,528554,284855.0,43439.0128310895,1.8555194748205228
강원특별자치도,춘천시,202603,13387350000,642481,284910.0,46987.99620932926,2.255031413428802
강원특별자치도,춘천시,202604,13445420000,668498,284966.0,47182.54107507562,2.345886877732782
강원특별자치도,춘천시,202605,15427190000,708989,285160.0,54100.11923130874,2.486284892691822
강원특별자치도,춘천시,202606,13133550000,645280,285027.0,46078.26626951131,2.263925873689159
강원특별자치도,태백시,202601,1480740000,55568,36972.0,40050.308341447584,1.5029752244942118
강원특별자치도,태백시,202602,1381680000,52203,36886.0,37458.11418966546,1.4152523992842814
강원특별자치도,태백시,202603,1132720000,47249,36859.0,30731.164708754986,1.2818850212973765
강원특별자치도,태백시,202604,1165350000,49299,36850.0,31624.15196743555,1.3378290366350067
강원특별자치도,태백시,202605,1473830000,57477,36853.0,39992.13089843432,1.5596287954847639
강원특별자치도,태백시,202606,1375260000,55860,36811.0,37360.02825242455,1.5174811876884626
강원특별자치도,평창군,202601,3082220000,128293,39933.0,77184.78451406106,3.2127062830240654
강원특별자치도,평창군,202602,2844020000,119000,39949.0,71191.26886780646,2.978797967408446
강원특별자치도,평창군,202603,1853710000,82599,39860.0,46505.51931761164,2.072227797290517
강원특별자치도,평창군,202604,1940120000,85972,39904.0,48619.68724939856,2.154470729751403
강원특별자치도,평창군,202605,2705050000,112937,39917.0,67766.86624746349,2.8292957887616805
강원특별자치도,평창군,202606,2528730000,107195,39897.0,63381.457252424996,2.6867934932451063
강원특별자치도,홍천군,202601,3949670000,199093,66008.0,59836.2319718822,3.0161950066658587
강원특별자치도,홍천군,202602,3668730000,185838,65937.0,55639.92902315847,2.8184175804176714
강원특별자치도,홍천군,202603,3023090000,152801,65962.0,45830.781358964254,2.316500409326582
강원특별자치도,홍천군,202604,3293130000,169175,65935.0,49945.09744445287,2.5657844847197997
강원특별자치도,홍천군,202605,4163410000,210890,65889.0,63188.240829273476,3.2006860022158476
강원특별자치도,홍천군,202606,3661450000,191191,65849.0,55603.729745326425,2.903476134793239
강원특별자치도,화천군,202601,1253320000,70575,22338.0,56107.08210224729,3.1594144507117914
강원특별자치도,화천군,202602,890640000,44791,22284.0,39967.68982229402,2.0100071800394903
강원특별자치도,화천군,202603,932290000,49573,22290.0,41825.4822790489,2.2240017945266937
