STRD_YYMM,SIDO_NM,CCG_NM,REGION_KEY,TPBUZ_NO,TPBUZ_NM,active_store_count,active_count_at_start,active_count_at_end,opening_store_count,closure_store_count,net_store_change,closure_rate_start,closure_rate_avg,source,mapping_confidence
202604,강원특별자치도,춘천시,강원특별자치도|춘천시,4004,대형할인점,6,6,6,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,강원특별자치도,춘천시,강원특별자치도|춘천시,4004,대형할인점,6,6,6,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202606,강원특별자치도,춘천시,강원특별자치도|춘천시,4004,대형할인점,6,6,6,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202601,경기도,고양시 덕양구,경기도|고양시 덕양구,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,경기도,고양시 덕양구,경기도|고양시 덕양구,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,경기도,고양시 덕양구,경기도|고양시 덕양구,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202604,경기도,고양시 덕양구,경기도|고양시 덕양구,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,경기도,고양시 덕양구,경기도|고양시 덕양구,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202606,경기도,고양시 덕양구,경기도|고양시 덕양구,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202601,경기도,고양시 일산동구,경기도|고양시 일산동구,4004,대형할인점,3,3,3,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,경기도,고양시 일산동구,경기도|고양시 일산동구,4004,대형할인점,3,3,3,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,경기도,고양시 일산동구,경기도|고양시 일산동구,4004,대형할인점,3,3,3,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202604,경기도,고양시 일산동구,경기도|고양시 일산동구,4004,대형할인점,3,3,3,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,경기도,고양시 일산동구,경기도|고양시 일산동구,4004,대형할인점,3,3,3,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202606,경기도,고양시 일산동구,경기도|고양시 일산동구,4004,대형할인점,3,3,3,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202601,경기도,고양시 일산서구,경기도|고양시 일산서구,4004,대형할인점,4,4,4,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,경기도,고양시 일산서구,경기도|고양시 일산서구,4004,대형할인점,4,4,4,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,경기도,고양시 일산서구,경기도|고양시 일산서구,4004,대형할인점,4,4,4,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202604,경기도,고양시 일산서구,경기도|고양시 일산서구,4004,대형할인점,4,4,4,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,경기도,고양시 일산서구,경기도|고양시 일산서구,4004,대형할인점,4,4,4,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202606,경기도,고양시 일산서구,경기도|고양시 일산서구,4004,대형할인점,4,4,4,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202601,경기도,광명시,경기도|광명시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,경기도,광명시,경기도|광명시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,경기도,광명시,경기도|광명시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202604,경기도,광명시,경기도|광명시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,경기도,광명시,경기도|광명시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202606,경기도,광명시,경기도|광명시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202601,경기도,광주시,경기도|광주시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,경기도,광주시,경기도|광주시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,경기도,광주시,경기도|광주시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202604,경기도,광주시,경기도|광주시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202605,경기도,광주시,경기도|광주시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202606,경기도,광주시,경기도|광주시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202601,경기도,구리시,경기도|구리시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202602,경기도,구리시,경기도|구리시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
202603,경기도,구리시,경기도|구리시,4004,대형할인점,2,2,2,0,0,0,0.0,0.0,LOCALDATA 대규모·준대규모점포,HIGH
