area1,area2,2026Q1,2026Q2,property_type,metric,SIDO_NM,qoq_change,qoq_change_pct
서울,계,9.347004088628726,9.671976723597064,중대형상가,vacancy_rate_pct,서울특별시,0.32497263496833817,3.4767571714629852
부산,계,15.299148122504919,15.616285225956197,중대형상가,vacancy_rate_pct,부산광역시,0.31713710345127843,2.0729069416928647
대구,계,18.34971899178441,18.915722277693867,중대형상가,vacancy_rate_pct,대구광역시,0.5660032859094564,3.0845338076450624
인천,계,14.29135283493629,14.999229548016688,중대형상가,vacancy_rate_pct,인천광역시,0.7078767130803971,4.9531819783354525
광주,계,16.664928622309148,17.615827783860137,중대형상가,vacancy_rate_pct,광주광역시,0.9508991615509892,5.7059900051298795
대전,계,14.332684262951634,14.123109047269164,중대형상가,vacancy_rate_pct,대전광역시,-0.20957521568247017,-1.4622188826429294
울산,계,17.724641244206744,16.839106388025833,중대형상가,vacancy_rate_pct,울산광역시,-0.8855348561809109,-4.9960664590057435
세종,계,26.969588799406065,29.678938977308427,중대형상가,vacancy_rate_pct,세종특별자치시,2.709350177902362,10.045945446383776
경기,계,11.568970707418345,11.845442569898918,중대형상가,vacancy_rate_pct,경기도,0.2764718624805731,2.389770615490372
강원,계,16.977189623684,17.52411891087009,중대형상가,vacancy_rate_pct,강원특별자치도,0.5469292871860887,3.221553739513494
충북,계,20.316367447036534,19.498978169730925,중대형상가,vacancy_rate_pct,충청북도,-0.8173892773056082,-4.023304261632843
충남,계,15.586926693675418,16.034571142151965,중대형상가,vacancy_rate_pct,충청남도,0.44764444847654694,2.871922459596754
전북,계,18.17816556377016,18.02865050938743,중대형상가,vacancy_rate_pct,전북특별자치도,-0.14951505438273216,-0.8224980340190258
전남,계,14.492961586062481,14.681747395759897,중대형상가,vacancy_rate_pct,전라남도,0.18878580969741598,1.3026033952850957
경북,계,18.63427559964256,18.880045629791667,중대형상가,vacancy_rate_pct,경상북도,0.2457700301491066,1.3189137878470536
경남,계,17.830668689478486,17.803863468952898,중대형상가,vacancy_rate_pct,경상남도,-0.026805220525588425,-0.15033211032295934
제주,계,10.755742798560398,11.69286798391137,중대형상가,vacancy_rate_pct,제주특별자치도,0.9371251853509719,8.712789092320072
서울,계,56.36429542548877,56.708091755459485,중대형상가,rent_1000won_m2,서울특별시,0.34379632997071496,0.6099540983798946
부산,계,30.09444907389515,30.110599096091313,중대형상가,rent_1000won_m2,부산광역시,0.01615002219616457,0.05366445538348419
대구,계,21.753530412006263,21.720153443970524,중대형상가,rent_1000won_m2,대구광역시,-0.033376968035739196,-0.15343241949048458
인천,계,25.020970046058913,25.002030570384395,중대형상가,rent_1000won_m2,인천광역시,-0.018939475674518036,-0.0756944100874346
광주,계,21.529785929913295,21.511764373944832,중대형상가,rent_1000won_m2,광주광역시,-0.018021555968463332,-0.08370522599309149
대전,계,18.67553124720928,18.650851448138567,중대형상가,rent_1000won_m2,대전광역시,-0.02467979907071083,-0.1321504526110795
울산,계,16.567034071025663,16.54768519517744,중대형상가,rent_1000won_m2,울산광역시,-0.0193488758482232,-0.11679142908302964
세종,계,15.747682187817892,15.742401932253523,중대형상가,rent_1000won_m2,세종특별자치시,-0.00528025556436873,-0.03353036657326447
경기,계,26.74433297128621,26.71869035290407,중대형상가,rent_1000won_m2,경기도,-0.02564261838213966,-0.09588056808024215
강원,계,14.928299237552771,14.909804094575756,중대형상가,rent_1000won_m2,강원특별자치도,-0.018495142977014822,-0.12389316882455148
충북,계,17.07089641905668,17.038145443681778,중대형상가,rent_1000won_m2,충청북도,-0.03275097537490268,-0.19185269812979078
충남,계,14.41614336491469,14.40894695404743,중대형상가,rent_1000won_m2,충청남도,-0.007196410867260639,-0.04991911279665917
전북,계,14.178773386111382,14.154641621177861,중대형상가,rent_1000won_m2,전북특별자치도,-0.024131764933521538,-0.17019642162530157
전남,계,12.641852554540664,12.618188279107118,중대형상가,rent_1000won_m2,전라남도,-0.023664275433546322,-0.18718993384435612
경북,계,12.77058620786218,12.75256115270642,중대형상가,rent_1000won_m2,경상북도,-0.018025055155760583,-0.14114508811399196
경남,계,15.626525043787383,15.58621706599376,중대형상가,rent_1000won_m2,경상남도,-0.04030797779362416,-0.25794588163827736
제주,계,15.012617027092437,15.000306450263569,중대형상가,rent_1000won_m2,제주특별자치도,-0.012310576828868491,-0.08200153781751096
서울,계,6.306253196239286,6.377933611218737,소규모상가,vacancy_rate_pct,서울특별시,0.07168041497945055,1.1366561530101071
부산,계,7.802676245483988,8.566661705913294,소규모상가,vacancy_rate_pct,부산광역시,0.7639854604293062,9.791325903999715
대구,계,10.371856743461052,10.825779054900824,소규모상가,vacancy_rate_pct,대구광역시,0.45392231143977213,4.376480727290688
인천,계,10.36449678035905,10.585415176086336,소규모상가,vacancy_rate_pct,인천광역시,0.22091839572728666,2.1314917685722357
광주,계,9.53884594165279,9.62768656970307,소규모상가,vacancy_rate_pct,광주광역시,0.08884062805027959,0.9313561472079623
대전,계,6.449516406515328,7.751174449699414,소규모상가,vacancy_rate_pct,대전광역시,1.3016580431840863,20.182258035178368
울산,계,6.521632488031445,5.91927961657011,소규모상가,vacancy_rate_pct,울산광역시,-0.6023528714613349,-9.23622839169147
세종,계,10.512132492376946,9.034685454065821,소규모상가,vacancy_rate_pct,세종특별자치시,-1.4774470383111247,-14.054684331485745
경기,계,8.258709484233801,7.577401225718634,소규모상가,vacancy_rate_pct,경기도,-0.6813082585151671,-8.24957288806213
강원,계,8.253068722460375,7.764637748683089,소규모상가,vacancy_rate_pct,강원특별자치도,-0.4884309737772856,-5.918174078061911
충북,계,9.117726201212292,10.777622722706187,소규모상가,vacancy_rate_pct,충청북도,1.659896521493895,18.20515866415462
충남,계,7.5652515283437,7.300367067998138,소규모상가,vacancy_rate_pct,충청남도,-0.264884460345562,-3.50133051562338
전북,계,9.396205759081823,9.227470311180177,소규모상가,vacancy_rate_pct,전북특별자치도,-0.1687354479016463,-1.7957828109346874
전남,계,10.635990382596363,10.450489645050007,소규모상가,vacancy_rate_pct,전라남도,-0.18550073754635577,-1.7440852320616096
경북,계,9.74316299976289,10.03328841434383,소규모상가,vacancy_rate_pct,경상북도,0.29012541458094,2.9777333560774943
경남,계,8.583306128543711,9.876243741610628,소규모상가,vacancy_rate_pct,경상남도,1.2929376130669166,15.06339857513952
제주,계,2.2594286072053067,2.549220163001361,소규모상가,vacancy_rate_pct,제주특별자치도,0.2897915557960542,12.82587796188428
서울,계,52.53972318186169,52.777792630566374,소규모상가,rent_1000won_m2,서울특별시,0.23806944870468527,0.45312276937703455
부산,계,26.316689441059108,26.333355001644616,소규모상가,rent_1000won_m2,부산광역시,0.016665560585508388,0.06332696452124864
대구,계,20.59068911576115,20.55440875295608,소규모상가,rent_1000won_m2,대구광역시,-0.03628036280507274,-0.1761979047962159
인천,계,21.4263516631264,21.361178531326747,소규모상가,rent_1000won_m2,인천광역시,-0.06517313179965356,-0.3041727907033942
광주,계,16.688732433076034,16.66465055957578,소규모상가,rent_1000won_m2,광주광역시,-0.024081873500254147,-0.1443001953373324
대전,계,15.095582148516606,15.081927905400612,소규모상가,rent_1000won_m2,대전광역시,-0.013654243115993836,-0.09045191488249449
울산,계,14.005082398666584,14.018886083999789,소규모상가,rent_1000won_m2,울산광역시,0.01380368533320464,0.09856197157767088
세종,계,15.851479747345989,15.831005047108398,소규모상가,rent_1000won_m2,세종특별자치시,-0.02047470023759068,-0.12916586062584612
경기,계,23.892239904514348,23.91184522038592,소규모상가,rent_1000won_m2,경기도,0.01960531587157277,0.08205725352634641
강원,계,13.340721580308488,13.306198105924743,소규모상가,rent_1000won_m2,강원특별자치도,-0.03452347438374481,-0.25878266161182273
충북,계,12.63886611538437,12.603795164077834,소규모상가,rent_1000won_m2,충청북도,-0.03507095130653681,-0.27748494988681927
충남,계,12.903182063181116,12.900620304101334,소규모상가,rent_1000won_m2,충청남도,-0.0025617590797821777,-0.01985370017441035
전북,계,10.86651448055658,10.850346712200555,소규모상가,rent_1000won_m2,전북특별자치도,-0.01616776835602529,-0.14878522809640415
전남,계,10.868454360915123,10.857145450028229,소규모상가,rent_1000won_m2,전라남도,-0.011308910886894452,-0.10405261421130296
경북,계,13.107068572049572,13.099864855806377,소규모상가,rent_1000won_m2,경상북도,-0.007203716243195046,-0.05496054440851106
경남,계,13.03767911628215,13.008558348894523,소규모상가,rent_1000won_m2,경상남도,-0.02912076738762792,-0.22335852207975293
제주,계,14.799043042391382,14.781560827412132,소규모상가,rent_1000won_m2,제주특별자치도,-0.017482214979249733,-0.11813071243303996
서울,계,9.287052570634065,9.292848728451004,집합상가,vacancy_rate_pct,서울특별시,0.005796157816938319,0.062411166221520986
부산,계,9.02424229012907,8.890626074103707,집합상가,vacancy_rate_pct,부산광역시,-0.1336162160253629,-1.4806363983768
대구,계,11.56076085735109,11.974387724235843,집합상가,vacancy_rate_pct,대구광역시,0.41362686688475314,3.577851596348358
인천,계,9.467309840671948,9.731596577328789,집합상가,vacancy_rate_pct,인천광역시,0.26428673665684066,2.7915716407786118
광주,계,8.829858080106552,8.169953915046996,집합상가,vacancy_rate_pct,광주광역시,-0.6599041650595563,-7.473553471332728
대전,계,9.14347173743324,9.040296897531508,집합상가,vacancy_rate_pct,대전광역시,-0.10317483990173137,-1.1283989590008203
울산,계,20.27363630704127,20.191485309547566,집합상가,vacancy_rate_pct,울산광역시,-0.08215099749370225,-0.4052109658550518
세종,계,13.039861038854946,11.35146891927688,집합상가,vacancy_rate_pct,세종특별자치시,-1.688392119578067,-12.947930308054323
경기,계,5.384180635456833,5.374787233342039,집합상가,vacancy_rate_pct,경기도,-0.009393402114794114,-0.17446298240691993
강원,계,17.084344437299013,17.449478281199177,집합상가,vacancy_rate_pct,강원특별자치도,0.3651338439001641,2.1372423462910017
충북,계,15.512927725653547,15.095788049222769,집합상가,vacancy_rate_pct,충청북도,-0.41713967643077865,-2.688980982880229
충남,계,11.45101135001574,12.632353979103836,집합상가,vacancy_rate_pct,충청남도,1.1813426290880962,10.316491644089343
전북,계,19.818068487262998,20.34332982248916,집합상가,vacancy_rate_pct,전북특별자치도,0.5252613352261619,2.650416389285093
전남,계,22.939763038651048,24.030491231200905,집합상가,vacancy_rate_pct,전라남도,1.0907281925498573,4.754749169431682
경북,계,27.421988414124744,27.558782567859964,집합상가,vacancy_rate_pct,경상북도,0.1367941537352202,0.4988484119727854
경남,계,12.795129071223336,12.819440976126392,집합상가,vacancy_rate_pct,경상남도,0.024311904903056458,0.19000906335313594
제주,계,19.026795901888693,18.31528354005874,집합상가,vacancy_rate_pct,제주특별자치도,-0.7115123618299535,-3.7395280082829108
서울,계,49.59762157224201,49.75419161914773,집합상가,rent_1000won_m2,서울특별시,0.15657004690572052,0.31568055471706824
부산,계,29.015072018526713,28.976776560577665,집합상가,rent_1000won_m2,부산광역시,-0.03829545794904732,-0.13198470754990366
대구,계,22.88174718842747,22.857383535768687,집합상가,rent_1000won_m2,대구광역시,-0.02436365265878493,-0.10647636501773805
인천,계,27.565339359577003,27.75077525229531,집합상가,rent_1000won_m2,인천광역시,0.1854358927183064,0.6727139843967889
광주,계,20.93576249576925,21.07489160481755,집합상가,rent_1000won_m2,광주광역시,0.13912910904830156,0.6645523853091806
대전,계,22.65738191985,22.64048801301912,집합상가,rent_1000won_m2,대전광역시,-0.016893906830880212,-0.07456248427396561
울산,계,21.070741705805975,21.05946649396079,집합상가,rent_1000won_m2,울산광역시,-0.01127521184518443,-0.05351122424930299
세종,계,18.13052246086494,18.109322186286125,집합상가,rent_1000won_m2,세종특별자치시,-0.02120027457881335,-0.11693140462208929
경기,계,30.297465611360412,30.27421062804413,집합상가,rent_1000won_m2,경기도,-0.023254983316281397,-0.07675553993388151
강원,계,18.315837195034888,18.294490411219606,집합상가,rent_1000won_m2,강원특별자치도,-0.021346783815282322,-0.11654822866119519
충북,계,14.92104892694814,14.878182665450474,집합상가,rent_1000won_m2,충청북도,-0.04286626149766626,-0.2872871854219805
충남,계,15.772999076238943,15.759641984424327,집합상가,rent_1000won_m2,충청남도,-0.01335709181461553,-0.08468327266142328
전북,계,19.256849337893698,19.241225150065517,집합상가,rent_1000won_m2,전북특별자치도,-0.015624187828180425,-0.0811357432050741
전남,계,14.815626456378478,14.800421121248657,집합상가,rent_1000won_m2,전라남도,-0.015205335129820696,-0.10263038943773006
경북,계,15.820193210611908,15.80836270327134,집합상가,rent_1000won_m2,경상북도,-0.011830507340567564,-0.07478105471323548
경남,계,19.589062160197212,19.55409775895182,집합상가,rent_1000won_m2,경상남도,-0.034964401245392907,-0.1784894088316169
제주,계,12.634368484427812,12.617075407202167,집합상가,rent_1000won_m2,제주특별자치도,-0.017293077225644993,-0.13687330116229912
