dimension,segment_code,segment,TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,amt_share_jan,amt_share_jun,amt_share_change_pp,cnt_share_jan,cnt_share_jun,cnt_share_change_pp
AGE_CD,1,20대 이하,4004,대형할인점,강원특별자치도,강릉시,1.0106605608489057,0.6184022576037348,-0.39225830324517086,1.070257206973934,0.7878151260504201,-0.28244208092351386
AGE_CD,2,20대,4004,대형할인점,강원특별자치도,강릉시,7.358987616022848,6.130021252133924,-1.228966363888924,8.498762874733874,7.022809123649459,-1.4759537510844147
AGE_CD,3,30대,4004,대형할인점,강원특별자치도,강릉시,15.434424009651131,14.207574121172003,-1.2268498884791281,14.506013004200472,14.015606242497,-0.49040676170347197
AGE_CD,4,40대,4004,대형할인점,강원특별자치도,강릉시,21.60917842282788,20.349789220638957,-1.259389202188924,20.870015535991715,20.558223289315727,-0.3117922466759886
AGE_CD,5,50대,4004,대형할인점,강원특별자치도,강릉시,25.916488169978084,25.993798557642055,0.07731038766397091,24.339720352149147,25.465186074429774,1.1254657222806266
AGE_CD,6,60대 이상,4004,대형할인점,강원특별자치도,강릉시,28.670261220671144,32.700414590809324,4.03015337013818,30.715231025950864,32.15036014405762,1.435129118106758
AGE_CD,1,20대 이하,4004,대형할인점,강원특별자치도,동해시,0.2804894816444384,0.25429967208726495,-0.026189809557173427,0.6285714285714286,0.5933739904400857,-0.035197438131342906
AGE_CD,2,20대,4004,대형할인점,강원특별자치도,동해시,4.955314175718411,4.118985478150305,-0.8363286975681063,5.942857142857143,4.779957145211801,-1.1628999976453418
AGE_CD,3,30대,4004,대형할인점,강원특별자치도,동해시,13.438746047023237,12.624640299805929,-0.8141057472173081,12.557142857142859,13.136640843909674,0.5794979867668157
AGE_CD,4,40대,4004,대형할인점,강원특별자치도,동해시,21.36944864567579,21.42474737335207,0.055298727676280635,21.099999999999998,20.405472226800725,-0.6945277731992725
AGE_CD,5,50대,4004,대형할인점,강원특별자치도,동해시,26.272514780695722,28.100113765642774,1.827598984947052,25.685714285714283,24.905224987638043,-0.7804892980762403
AGE_CD,6,60대 이상,4004,대형할인점,강원특별자치도,동해시,33.6834868692424,33.47721341096165,-0.20627345828074795,34.08571428571429,36.17933080599967,2.09361652028538
AGE_CD,2,20대,4004,대형할인점,강원특별자치도,삼척시,7.8781647603135845,4.841757203589986,-3.0364075567235984,7.6195773081201335,7.632999228989977,0.013421920869843618
AGE_CD,3,30대,4004,대형할인점,강원특별자치도,삼척시,14.741035856573706,8.856872933396316,-5.88416292317739,14.071190211345941,10.79414032382421,-3.2770498875217307
AGE_CD,4,40대,4004,대형할인점,강원특별자치도,삼척시,23.994345199845778,13.769485120453473,-10.224860079392306,21.774193548387096,14.649190439475712,-7.125003108911384
AGE_CD,5,50대,4004,대형할인점,강원특별자치도,삼척시,27.26513301632181,26.901275389702413,-0.3638576266193958,26.362625139043384,25.28912875867386,-1.073496380369523
AGE_CD,6,60대 이상,4004,대형할인점,강원특별자치도,삼척시,25.9928029816219,45.63060935285782,19.637806371235918,29.810901001112345,41.63454124903624,11.823640247923894
AGE_CD,1,20대 이하,4004,대형할인점,강원특별자치도,속초시,0.6334934096250128,0.31128169482305296,-0.3222117148019598,0.5826307491945987,0.514884298987986,-0.06774645020661263
AGE_CD,2,20대,4004,대형할인점,강원특별자치도,속초시,5.143849713176371,4.768956450784248,-0.3748932623921224,5.723490300911646,4.8233414215541215,-0.9001488793575243
AGE_CD,3,30대,4004,대형할인점,강원특별자치도,속초시,13.341312820213403,13.47275529632204,0.1314424761086368,13.126328055384192,12.706397585370183,-0.41993047001400896
AGE_CD,4,40대,4004,대형할인점,강원특별자치도,속초시,22.31677589805719,19.503460364471575,-2.813315533585616,21.53677428199328,18.902763804225604,-2.634010477767678
AGE_CD,5,50대,4004,대형할인점,강원특별자치도,속초시,24.782145411551767,23.95055758711354,-0.8315878244382269,24.62129001302351,24.2528259454341,-0.36846406758941086
AGE_CD,6,60대 이상,4004,대형할인점,강원특별자치도,속초시,33.78242274737626,37.99298860648554,4.2105658591092805,34.409486599492766,38.79978694442801,4.390300344935241
AGE_CD,2,20대,4004,대형할인점,강원특별자치도,영월군,3.7947621592731156,3.7297462549679,-0.06501590430521542,5.359765051395008,3.7369207772795217,-1.622844274115486
AGE_CD,3,30대,4004,대형할인점,강원특별자치도,영월군,13.468733297701762,12.106389483338429,-1.3623438143633333,13.509544787077827,11.509715994020926,-1.999828793056901
AGE_CD,4,40대,4004,대형할인점,강원특별자치도,영월군,27.52538749331908,21.46132681137267,-6.064060681946412,24.082232011747433,19.20777279521674,-4.874459216530692
AGE_CD,5,50대,4004,대형할인점,강원특별자치도,영월군,28.380545163014432,24.88535616019566,-3.4951890028187727,27.312775330396477,26.980568011958145,-0.33220731843833207
AGE_CD,6,60대 이상,4004,대형할인점,강원특별자치도,영월군,26.830571886691608,36.838887190461634,10.008315303770026,29.735682819383257,36.92077727952167,7.185094460138416
AGE_CD,1,20대 이하,4004,대형할인점,강원특별자치도,원주시,0.2983717989250711,0.22997726968846102,-0.06839452923661007,0.626808100289296,0.5068261723208985,-0.11998192796839746
AGE_CD,2,20대,4004,대형할인점,강원특별자치도,원주시,5.381560227631995,5.231982885412488,-0.1495773422195077,6.5870484385431345,5.976896032144651,-0.6101524063984831
AGE_CD,3,30대,4004,대형할인점,강원특별자치도,원주시,18.263910844135314,16.643936355127693,-1.619974489007621,18.511238038721164,17.291447879092278,-1.2197901596288858
AGE_CD,4,40대,4004,대형할인점,강원특별자치도,원주시,25.268732216250395,22.243615456611845,-3.02511675963855,24.567910392404123,23.304871923656453,-1.26303846874767
AGE_CD,5,50대,4004,대형할인점,강원특별자치도,원주시,27.711033828643693,27.240272763738467,-0.4707610649052256,25.7621838142571,24.871010456143555,-0.8911733581135444
AGE_CD,6,60대 이상,4004,대형할인점,강원특별자치도,원주시,23.07639108441353,28.410215269421045,5.333824185007515,23.94481121578518,28.04894753664216,4.1041363208569805
AGE_CD,4,40대,4004,대형할인점,강원특별자치도,인제군,4.242424242424243,6.112054329371817,1.8696300869475735,6.642066420664207,13.636363636363635,6.994297215699428
