SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,AGE_CD,cnt_growth_pct_m,population_growth_pct_m,cnt_per_resident_growth_pct_m,gap_beta,national_gap_beta,benchmark_adjusted_gap_pct_m,AGE_GROUP
강원특별자치도,강릉시,4004,대형할인점,2,-8.625559357202548,-0.1601631045670021,-8.478976444544632,-0.0886014744653043,-0.02890151499465711,-5.795285649147347,20대
강원특별자치도,강릉시,4004,대형할인점,3,-4.817271196018879,0.12300987475753455,-4.934211503385827,-0.05060102357161974,-0.025824719329818023,-2.4471890877445515,30대
강원특별자치도,강릉시,4004,대형할인점,4,-4.4242623458761905,-0.3405264869781623,-4.097689577262751,-0.04184011238956072,-0.024531775223838082,-1.7159408372488079,40대
강원특별자치도,강릉시,4004,대형할인점,5,-4.115717518750587,-0.1894753571126249,-3.9336955453201807,-0.040131561521067644,-0.019940065607136653,-1.9989012762892249,50대
강원특별자치도,강릉시,4004,대형할인점,6,-3.010938540210697,0.24446551808935416,-3.247465125855358,-0.0330136541718637,-0.005566307444719953,-2.7074091061824013,60대 이상
강원특별자치도,강릉시,4010,편의점,2,4.144050073661325,-0.1601631045670021,4.311117998656522,0.042207766681431426,0.037689412023441095,0.452857781388009,20대
강원특별자치도,강릉시,4010,편의점,3,3.858011168445848,0.12300987475753455,3.730412517922078,0.03662516029071539,0.025947096536290716,1.073527774072094,30대
강원특별자치도,강릉시,4010,편의점,4,3.6939737748915036,-0.3405264869781623,4.048285747107128,0.039684891435747875,0.03476626596572525,0.49307417653075547,40대
강원특별자치도,강릉시,4010,편의점,5,3.985091214945671,-0.1894753571126249,4.182491362503605,0.040973900062058685,0.042046751158504446,-0.10722757974632954,50대
강원특별자치도,강릉시,4010,편의점,6,7.375801866801766,0.24446551808935416,7.113945205708684,0.06872299032558782,0.051056750551709176,1.7823210787841617,60대 이상
강원특별자치도,강릉시,4020,슈퍼마켓,2,-1.109118222572542,-0.1601631045670021,-0.9504774321691106,-0.009550232967910561,0.006729608126393874,-1.6148040680472253,20대
강원특별자치도,강릉시,4020,슈퍼마켓,3,1.1229040570106104,0.12300987475753455,0.9986657247957583,0.009937120120320183,0.002332960526697597,0.7633144637572503,30대
강원특별자치도,강릉시,4020,슈퍼마켓,4,0.09183437395646146,-0.3405264869781623,0.43383819489888237,0.004328998300133741,0.0019698678399135716,0.23619153980642937,40대
강원특별자치도,강릉시,4020,슈퍼마켓,5,1.0053515307118737,-0.1894753571126249,1.1970950880174973,0.01189986578942833,0.007359826010089572,0.4550361374176668,50대
강원특별자치도,강릉시,4020,슈퍼마켓,6,1.9382328836954943,0.24446551808935416,1.6896367862827257,0.016755212034386957,0.01882841124984108,-0.2071051622346466,60대 이상
강원특별자치도,강릉시,8001,일반한식,2,-2.5882451183070097,-0.1601631045670021,-2.4319771438359354,-0.024620380923459504,0.014901896024596998,-3.8751459931715813,20대
