TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,total_amt_6m,total_cnt_6m,avg_ticket_6m,amt_growth_pct_m,amt_r2,cnt_growth_pct_m,cnt_r2,ticket_growth_pct_m,ticket_r2,peak_month,amt_growth_without_peak_pct_m,peak_dependency,market_size_quartile
4004,대형할인점,강원특별자치도,강릉시,4517360000,101401,44549.462036863544,-6.0768645959975665,0.7524951505120105,-4.377182166022783,0.7926082273031139,-1.7774862407064718,0.5091961270517892,202601,-6.09419843659788,False,Q2
4004,대형할인점,강원특별자치도,동해시,2137040000,42061,50808.112027769195,-2.7873190153905942,0.34284611846917284,-1.6015826713736727,0.22703183265908938,-1.2050359916429099,0.3145101294805342,202602,-2.3412252460443597,False,Q1_small
4004,대형할인점,강원특별자치도,삼척시,652120000,16767,38893.06375618775,-23.201190952861815,0.9610794177299191,-17.442939272360636,0.907838154323983,-6.974874868060031,0.7652190202689334,202601,-26.125933077392133,False,Q1_small
4004,대형할인점,강원특별자치도,속초시,4517840000,107901,41870.23289867564,-0.07775570114901656,0.0006608640324832055,3.455430290388916,0.8348579634953471,-3.415176933313831,0.6456459524800048,202605,-1.4569702758375862,False,Q2
4004,대형할인점,강원특별자치도,영월군,235390000,9554,24637.848021770988,0.8704166761251039,0.03426451287659365,2.7893516878457194,0.376204151532685,-1.8668616741042716,0.5511613573532179,202605,-0.8889410349394229,True,Q1_small
4004,대형할인점,강원특별자치도,원주시,5770450000,164806,35013.591738164876,-5.216384722700864,0.9056873436369833,-2.7361806676775227,0.6341578818482028,-2.5499760055167053,0.537233992547128,202601,-4.698105333405395,False,Q2
4004,대형할인점,강원특별자치도,인제군,44810000,1799,24908.2823790995,8.600590060495056,0.17201458823320367,2.801052811433322,0.036036108886328216,5.641515422706613,0.5090906912495938,202605,3.7360031241326586,False,Q1_small
4004,대형할인점,강원특별자치도,춘천시,8809520000,195677,45020.722926046496,-2.502222675124806,0.370202788472388,-0.8297563586595953,0.10416487668305942,-1.6864598240918116,0.5404426020447909,202605,-4.352067860168463,False,Q2
4004,대형할인점,강원특별자치도,태백시,1039000000,21491,48345.819180121915,-2.0419843102610935,0.06571059330587395,-1.281977660783798,0.06660895259198064,-0.7698762915506552,0.05428662472944785,202602,0.5068880129191365,False,Q1_small
4004,대형할인점,강원특별자치도,평창군,233690000,9128,25601.44609991236,1.0339236401562044,0.059108660449681494,3.7086771672679113,0.6054606853790973,-2.579102925782837,0.5849324543280824,202605,-0.4427951502674452,True,Q1_small
4004,대형할인점,강원특별자치도,홍천군,233600000,10709,21813.42795779251,4.038820636905743,0.6050997307763845,3.762356626347554,0.4903642097394891,0.26643960251759546,0.006405970214236794,202605,3.4993829078522567,False,Q1_small
4004,대형할인점,경기도,고양시 덕양구,32318320000,881527,36661.74717280355,-3.323398664784409,0.5466121521959374,-1.9229009219699382,0.3441885391616662,-1.4279559203726306,0.6654482544679828,202601,-2.535480376774114,False,Q4_large
4004,대형할인점,경기도,고양시 일산동구,12046060000,358698,33582.73533724749,-2.3588574129864477,0.41200946169584995,-1.1393982871779162,0.15976326465014848,-1.2335137604673914,0.4705841148645411,202601,-1.8980488492894458,False,Q4_large
4004,대형할인점,경기도,고양시 일산서구,9095510000,266631,34112.72507697905,-5.38065418943708,0.903433005161361,-4.811389078867463,0.8982496206135103,-0.5980390984393278,0.08493594389471351,202601,-4.611586326182189,False,Q3
4004,대형할인점,경기도,과천시,1999580000,79734,25078.134798204028,-1.8153232312700718,0.2649899609020478,0.5382643925454744,0.02193695401737396,-2.340986924765424,0.5491820937863584,202601,-0.24664473580738336,False,Q2
4004,대형할인점,경기도,광명시,7805350000,384192,20316.274154589373,-1.8127327762477725,0.39013693207367695,-1.2556400980085183,0.18227212832842055,-0.5641767071984469,0.18705480485396395,202601,-1.061178367098552,False,Q4_large
4004,대형할인점,경기도,광주시,5535510000,129360,42791.512059369205,-2.218705380667425,0.22312895520494375,0.07870698348286197,0.0007293049775599845,-2.2956055622595475,0.5116601944821153,202601,-0.5070948891382842,False,Q2
4004,대형할인점,경기도,구리시,4243780000,128331,33069.016839267206,-0.5542764778787287,0.025548370941468408,0.7584062898568622,0.07200678115760142,-1.3028022336511396,0.5558916002608038,202605,-2.0290735110793743,False,Q2
4004,대형할인점,경기도,군포시,13809800000,424359,32542.72915149673,-2.254798554750975,0.5589502351113335,-0.8639475198007954,0.1395909149043664,-1.4029719765450006,0.29664120187917553,202601,-1.6206917034883088,False,Q4_large
4004,대형할인점,경기도,김포시,17209660000,473928,36312.81544876015,-4.246259009711753,0.8523577780016175,-3.1221109740082085,0.6713451968734118,-1.1603762705873704,0.23904989536455482,202601,-4.190371083664494,False,Q4_large
4004,대형할인점,경기도,남양주시,16261310000,465962,34898.3608105382,-2.387433483808895,0.5098273944724316,-0.25536452476202975,0.013390388668770717,-2.1375274458505804,0.6602905282952376,202601,-1.4666073529466837,False,Q4_large
4004,대형할인점,경기도,동두천시,1044040000,29543,35339.674372947906,-2.620690266685406,0.6566208756894535,-4.538732815987193,0.8349775603814903,2.0092364221444075,0.4366857772566996,202601,-1.9104345196260888,False,Q1_small
4004,대형할인점,경기도,부천시 소사구,16385470000,434410,37718.906102529865,-4.942408516432517,0.7414941076317582,-3.6721725413369843,0.7477128358647418,-1.3186594243918062,0.23323095328359567,202601,-5.107245008458435,False,Q4_large
4004,대형할인점,경기도,부천시 오정구,169800000,11394,14902.580305423908,-21.523042948221295,0.8569315760023652,-17.014701931016095,0.90824863072823,-5.432698468417255,0.529573323100882,202601,-20.482697377260926,False,Q1_small
4004,대형할인점,경기도,부천시 원미구,17209740000,455676,37767.49269217602,-1.6780959461385758,0.1733954040412292,-1.3228145128070015,0.15205303598251027,-0.36004414959494846,0.04001761072665877,202605,-2.980160307436144,False,Q4_large
4004,대형할인점,경기도,성남시 분당구,23799430000,695138,34236.98603730482,-2.215079458883914,0.29672805053550305,-1.4574244701002788,0.18079905786944112,-0.7688605505888149,0.18855373602612369,202601,-1.6891257054711468,False,Q4_large
4004,대형할인점,경기도,성남시 수정구,9722810000,290088,33516.760431317394,-1.7333687424394308,0.33056040136595993,-0.524411536434496,0.032995870445988576,-1.2153305395601899,0.5218397939246752,202601,-0.7333991864666222,False,Q3
4004,대형할인점,경기도,성남시 중원구,189910000,14867,12773.92883567633,-22.282984271848594,0.9319157984289665,-17.652127197481413,0.9423781438030107,-5.623529687855598,0.7055290888193964,202601,-22.348289695444127,False,Q1_small
4004,대형할인점,경기도,수원시 권선구,15319650000,415890,36835.821972156096,-2.874650518873305,0.5347032448677912,-1.2930863948889053,0.258360417408391,-1.602283027824822,0.5826195887669025,202601,-2.5618009920528317,False,Q4_large
4004,대형할인점,경기도,수원시 영통구,5574930000,282663,19722.88555629849,-7.586416935963978,0.9141110753061422,-4.514105215992868,0.7652689834031462,-3.2175555634900452,0.7641535709226895,202601,-6.360480469232755,False,Q3
4004,대형할인점,경기도,수원시 장안구,26732480000,699501,38216.500047891284,-4.889628415418777,0.6908071890278742,-3.63189606820158,0.6848629697981621,-1.305133437207911,0.46644236936199374,202602,-5.589156790700497,False,Q4_large
4004,대형할인점,경기도,수원시 팔달구,6750750000,208635,32356.747429721763,-3.158038123767748,0.23937093566444725,-3.258194130717209,0.3431506824575171,0.10352918890597937,0.004729493802209856,202604,-4.553841519273625,False,Q3
