SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,mapping_confidence,nominal_amt_growth_pct_m,real_amt_growth_pct_m,nominal_real_type
강원특별자치도,양양군,8001,일반한식,MEDIUM,7.802728795469246,7.519748524553322,명목+/실질+
강원특별자치도,양양군,8004,일식회집,MEDIUM,8.727030388689048,8.44162384231453,명목+/실질+
강원특별자치도,양양군,8005,중국음식,MEDIUM,3.003391100128193,2.733009006423733,명목+/실질+
강원특별자치도,양양군,8006,서양음식,MEDIUM,6.912805284909686,6.632161047589145,명목+/실질+
강원특별자치도,양양군,8021,스넥,MEDIUM,5.552824440721571,5.275750129246251,명목+/실질+
강원특별자치도,양양군,8301,제과점,HIGH,1.4084826715245327,1.5062944732353911,명목+/실질+
강원특별자치도,영월군,4004,대형할인점,MEDIUM,0.8704166761252075,1.219278457027911,명목+/실질+
강원특별자치도,영월군,4010,편의점,MEDIUM,9.876413099484921,10.25642224801607,명목+/실질+
강원특별자치도,영월군,4020,슈퍼마켓,MEDIUM,6.206302405341673,6.573618423467907,명목+/실질+
강원특별자치도,영월군,8001,일반한식,MEDIUM,13.96107762965452,13.661931801141375,명목+/실질+
강원특별자치도,영월군,8004,일식회집,MEDIUM,10.828811808148348,10.537888122438636,명목+/실질+
강원특별자치도,영월군,8005,중국음식,MEDIUM,6.592321772301984,6.312518798576501,명목+/실질+
강원특별자치도,영월군,8006,서양음식,MEDIUM,13.67387457808189,13.375482652538143,명목+/실질+
강원특별자치도,영월군,8021,스넥,MEDIUM,7.330417700698405,7.0486772381161185,명목+/실질+
강원특별자치도,영월군,8301,제과점,HIGH,6.282005413515214,6.384517887472456,명목+/실질+
강원특별자치도,원주시,4004,대형할인점,MEDIUM,-5.2163847227005755,-4.888574231620942,명목-/실질-
강원특별자치도,원주시,4010,편의점,MEDIUM,4.210805899521699,4.571220464399845,명목+/실질+
강원특별자치도,원주시,4020,슈퍼마켓,MEDIUM,-1.806287176645979,-1.4666828143583304,명목-/실질-
강원특별자치도,원주시,8001,일반한식,MEDIUM,3.3728539721530635,3.1015020448943655,명목+/실질+
강원특별자치도,원주시,8002,갈비전문점,MEDIUM,-4.963679317241801,-5.2131479909401115,명목-/실질-
강원특별자치도,원주시,8004,일식회집,MEDIUM,-0.31041843596220403,-0.5721018377989859,명목-/실질-
강원특별자치도,원주시,8005,중국음식,MEDIUM,-1.3442238043302692,-1.603193485220569,명목-/실질-
강원특별자치도,원주시,8006,서양음식,MEDIUM,2.9344457220692326,2.664244608771987,명목+/실질+
강원특별자치도,원주시,8021,스넥,MEDIUM,1.6056269185714436,1.3389139313097227,명목+/실질+
강원특별자치도,원주시,8301,제과점,HIGH,1.5757299113544936,1.6737030285036012,명목+/실질+
강원특별자치도,인제군,4004,대형할인점,MEDIUM,8.600590060495207,8.976186756771675,명목+/실질+
강원특별자치도,인제군,4010,편의점,MEDIUM,7.845754756729248,8.21874084429542,명목+/실질+
강원특별자치도,인제군,4020,슈퍼마켓,MEDIUM,-22.47934172655237,-22.211235419538156,명목-/실질-
강원특별자치도,인제군,8001,일반한식,MEDIUM,6.796427907635517,6.516089158887596,명목+/실질+
강원특별자치도,인제군,8004,일식회집,MEDIUM,-3.8919824904564373,-4.144264349514543,명목-/실질-
강원특별자치도,인제군,8005,중국음식,MEDIUM,-0.47643730887651253,-0.7376849140858388,명목-/실질-
강원특별자치도,인제군,8006,서양음식,MEDIUM,3.221343034818664,2.9503888211109746,명목+/실질+
강원특별자치도,인제군,8021,스넥,MEDIUM,4.417473398934618,4.143379364016109,명목+/실질+
강원특별자치도,인제군,8301,제과점,HIGH,0.09509689831434492,0.19164189644576482,명목+/실질+
강원특별자치도,정선군,4010,편의점,MEDIUM,1.6178016009270637,1.9692482232974435,명목+/실질+
강원특별자치도,정선군,4020,슈퍼마켓,MEDIUM,23.81190911824376,24.24011437936254,명목+/실질+
강원특별자치도,정선군,8001,일반한식,MEDIUM,3.76673497645564,3.494349118474115,명목+/실질+
강원특별자치도,정선군,8004,일식회집,MEDIUM,0.8567231832089754,0.5919760551077894,명목+/실질+
강원특별자치도,정선군,8005,중국음식,MEDIUM,6.3708682250532,6.091646563002455,명목+/실질+
강원특별자치도,정선군,8006,서양음식,MEDIUM,-4.692347369347578,-4.942528284646464,명목-/실질-
강원특별자치도,정선군,8021,스넥,MEDIUM,5.073927233073014,4.798110018361983,명목+/실질+
강원특별자치도,정선군,8301,제과점,HIGH,10.44560256676592,10.552130966496327,명목+/실질+
강원특별자치도,철원군,4010,편의점,MEDIUM,5.4092583646159245,5.773817794510762,명목+/실질+
강원특별자치도,철원군,4020,슈퍼마켓,MEDIUM,0.42331471073515936,0.7706301830862068,명목+/실질+
강원특별자치도,철원군,8001,일반한식,MEDIUM,4.22459506166148,3.9510073289928296,명목+/실질+
강원특별자치도,철원군,8004,일식회집,MEDIUM,-4.036592965633635,-4.288495224732308,명목-/실질-
강원특별자치도,철원군,8005,중국음식,MEDIUM,1.5130848631414913,1.2466147971513477,명목+/실질+
강원특별자치도,철원군,8006,서양음식,MEDIUM,0.8929134927209101,0.6280713656924257,명목+/실질+
강원특별자치도,철원군,8021,스넥,MEDIUM,1.5659868829020347,1.2993779500383222,명목+/실질+
강원특별자치도,철원군,8301,제과점,HIGH,-2.3380345031936836,-2.2438363399612338,명목-/실질-
강원특별자치도,춘천시,4004,대형할인점,MEDIUM,-2.5022226751247563,-2.165025215726809,명목-/실질-
강원특별자치도,춘천시,4010,편의점,MEDIUM,4.54140197520178,4.902959911342995,명목+/실질+
강원특별자치도,춘천시,4020,슈퍼마켓,MEDIUM,-0.47305912253506793,-0.12884377192564309,명목-/실질-
강원특별자치도,춘천시,8001,일반한식,MEDIUM,3.6127398064712333,3.340758183108116,명목+/실질+
강원특별자치도,춘천시,8002,갈비전문점,MEDIUM,1.970227076172941,1.7025570198969924,명목+/실질+
강원특별자치도,춘천시,8003,한정식,MEDIUM,-7.740964535850206,-7.983142884596971,명목-/실질-
강원특별자치도,춘천시,8004,일식회집,MEDIUM,2.224035097373736,1.9556987994974573,명목+/실질+
강원특별자치도,춘천시,8005,중국음식,MEDIUM,0.12066170282715025,-0.14215327680765605,명목+/실질-
강원특별자치도,춘천시,8006,서양음식,MEDIUM,3.4956675784865334,3.2239932676669545,명목+/실질+
