industry,cohort,horizon_days,entrants_h1,observed_events_h1,at_risk_at_horizon,km_survival_pct,km_closure_pct
제과점,전체 인허가,30,1957,651,1137,67.95069341253512,32.04930658746489
제과점,전체 인허가,60,1957,651,880,64.52080192310223,35.47919807689778
제과점,전체 인허가,90,1957,651,648,63.941460503700455,36.058539496299545
제과점,전체 인허가,120,1957,651,363,63.253472429988896,36.746527570011104
제과점,전체 인허가,150,1957,651,185,63.03074893551711,36.96925106448289
제과점,시설 10m2 이상,30,1262,90,989,93.86974366212701,6.130256337872996
제과점,시설 10m2 이상,60,1262,90,811,93.05941426598261,6.94058573401739
제과점,시설 10m2 이상,90,1262,90,596,92.27097413117961,7.729025868820383
제과점,시설 10m2 이상,120,1262,90,333,91.63607330159607,8.363926698403933
제과점,시설 10m2 이상,150,1262,90,174,91.29157678542465,8.708423214575344
중국음식,전체 인허가,30,1030,48,839,96.38658705046231,3.6134129495376865
중국음식,전체 인허가,60,1030,48,663,95.31392674647819,4.686073253521816
중국음식,전체 인허가,90,1030,48,486,94.95266366674565,5.047336333254348
중국음식,전체 인허가,120,1030,48,279,94.3958273477433,5.60417265225669
중국음식,전체 인허가,150,1030,48,144,94.3958273477433,5.60417265225669
중국음식,시설 10m2 이상,30,934,26,777,97.83994775861945,2.160052241380561
중국음식,시설 10m2 이상,60,934,26,627,97.43986388785561,2.5601361121443844
중국음식,시설 10m2 이상,90,934,26,462,97.05037680089647,2.9496231991035238
중국음식,시설 10m2 이상,120,934,26,268,96.45526479785556,3.5447352021444445
중국음식,시설 10m2 이상,150,934,26,140,96.45526479785556,3.5447352021444445
