amt_growth_pct_m,amt_r2,cnt_growth_pct_m,cnt_r2,ticket_growth_pct_m,ticket_r2,amt_fitted_change_pct,cnt_fitted_change_pct,ticket_fitted_change_pct,SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,total_amt_6m,total_cnt_6m,peak_month,amt_without_peak_growth_pct_m,region_amt_growth_pct_m,amt_direction,cnt_direction,ticket_direction,region_direction,region_industry_relation,decomposition_type,peak_dependent
-6.076864595997405,0.7524951505120041,-4.3771821660226955,0.7926082273031138,-1.7774862407063465,0.509196127051789,-26.909167205208462,-20.051984652961348,-8.57705162846278,강원특별자치도,강릉시,4004,대형할인점,4517360000,101401,202601,-6.094198436597951,0.5733989562487017,감소,감소,감소,상승,정반대,감소 CNT·감소 건당금액,False
3.34506258883673,0.5883330439589375,4.9582396241546824,0.7745400132364573,-1.5369703618265527,0.6268234620395378,17.88231691249031,27.374558062092184,-7.452226954911792,강원특별자치도,강릉시,4010,편의점,11125770000,1214052,202605,2.6058818749320225,0.5733989562487017,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,False
-0.35590794626104316,0.028348029063096525,1.14451862955788,0.29205991448542035,-1.4834482344159938,0.38119782871964236,-1.7669176875395938,5.855093267413397,-7.20041966775955,강원특별자치도,강릉시,4020,슈퍼마켓,10557250000,332683,202605,-1.4862049580452863,0.5733989562487017,감소,상승,감소,상승,정반대,상승 CNT·감소 건당금액,False
0.9846415634716282,0.03635669006103304,1.3379137200564006,0.08999411464531337,-0.34860808123692044,0.12860359162036905,5.021119056012932,6.870980859232559,-1.730929938462406,강원특별자치도,강릉시,8001,일반한식,33668980000,809386,202605,-1.3251316003522493,0.5733989562487017,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,True
-2.273521122830495,0.24694711194718688,0.23167100191783954,0.010214953458714482,-2.4994017357052503,0.39160708796534704,-10.862334403894703,1.1637346034312783,-11.887727409895337,강원특별자치도,강릉시,8002,갈비전문점,157530000,1749,202602,-0.6427888093226622,0.5733989562487017,감소,정체,감소,상승,정반대,정체 CNT·감소 건당금액,False
3.382902600874197,0.17156932772802336,4.13191268186358,0.3849816321108276,-0.7192896602961963,0.09215277708759895,18.098289303506526,22.43884599539627,-3.545081347836719,강원특별자치도,강릉시,8004,일식회집,5749280000,64549,202605,0.8066735345291218,0.5733989562487017,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,False
-1.6861556321246487,0.29504644927464374,-0.16067474731489703,0.003225026785453222,-1.5279358919432888,0.3508441623339096,-8.151219742842716,-0.8007962438400967,-7.409760583432401,강원특별자치도,강릉시,8005,중국음식,1830490000,64489,202601,-1.1944359355879137,0.5733989562487017,감소,정체,감소,상승,정반대,정체 CNT·감소 건당금액,False
0.2400441000728537,0.0016982370493016097,2.838819270060492,0.2933265324796853,-2.527037152345273,0.6826262594271862,1.2059964655931061,15.02319015372358,-12.012528664580056,강원특별자치도,강릉시,8006,서양음식,10397840000,712923,202605,-2.6276049021212624,0.5733989562487017,정체,상승,감소,상승,정체포함차이,상승 CNT·감소 건당금액,False
0.5014342255044566,0.007344701986790603,0.29973852946634416,0.003017334418272122,0.20109294300792802,0.10354308393643508,2.53244115094862,1.5077039357840383,1.0095166922631782,강원특별자치도,강릉시,8021,스넥,2796610000,156085,202605,-2.195253787932796,0.5733989562487017,상승,상승,정체,상승,같은방향,상승 CNT·정체 건당금액,True
-4.6850424613885195,0.3179552008710953,-0.6683429647658227,0.030383624660919373,-4.043725451189942,0.4249928062126509,-21.330698577731773,-3.2973441326670496,-18.648251470780565,강원특별자치도,강릉시,8301,제과점,2113000000,135709,202602,-2.52938077625422,0.5733989562487017,감소,감소,감소,상승,정반대,감소 CNT·감소 건당금액,False
9.141010461502313,0.726004853067954,10.513609744693293,0.7702608757099428,-1.2420183236815943,0.5305923253457132,54.860212723996206,64.84615556968092,-6.05773474739251,강원특별자치도,고성군,4010,편의점,1990270000,206381,202605,8.269886664249881,9.711345178948969,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,False
11.9701982156872,0.8491261358511015,13.357120348104647,0.8453732943605401,-1.2234980283183128,0.2198493377548969,75.99982464207612,87.17335467334209,-5.969615734443837,강원특별자치도,고성군,4020,슈퍼마켓,140000000,10443,202605,12.212059852625858,9.711345178948969,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,False
9.542514465168054,0.5538722708120374,9.952516702647772,0.6598499850604536,-0.3728902709780777,0.03270873694955356,57.7297184275053,60.703698487935256,-1.8505983922039222,강원특별자치도,고성군,8001,일반한식,3566010000,72163,202605,7.355231070340576,9.711345178948969,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,False
17.813642849093466,0.709359773463003,24.32020886955119,0.8371351876696592,-5.233715483284749,0.9281358724385239,126.97494726134575,196.96731719051374,-23.569048133423003,강원특별자치도,고성군,8004,일식회집,680410000,7222,202605,16.114924879455923,9.711345178948969,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,False
1.6437913351179216,0.1190188911107456,4.0762353955059645,0.6502541078433458,-2.33717529380689,0.44526527194343957,8.49363990261513,22.111867621891683,-11.152255701668812,강원특별자치도,고성군,8005,중국음식,227190000,8231,202605,-0.4261922528297393,9.711345178948969,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,True
10.207378326943562,0.520049374834759,11.462387668512084,0.6950678242372506,-1.125948732859473,0.19546101299438012,62.574847911960404,72.04486302936787,-5.504387024790716,강원특별자치도,고성군,8006,서양음식,1657540000,93209,202605,7.42855392178339,9.711345178948969,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,False
6.237693170450749,0.2160454938191998,5.224887087051922,0.17183861549375212,0.9625157236432936,0.19987128720124547,35.32971262954188,29.000781698030696,4.906118279442545,강원특별자치도,고성군,8021,스넥,325840000,14807,202606,2.5851007759431943,9.711345178948969,상승,상승,상승,상승,같은방향,상승 CNT·상승 건당금액,False
-0.4845824167579108,0.004203365806391357,-5.281177677480497,0.47526601630184384,5.064035999508264,0.8641126727347018,-2.3995435861918106,-23.760252678644715,28.01781202450283,강원특별자치도,고성군,8301,제과점,135620000,7719,202602,2.436763219480131,9.711345178948969,감소,감소,상승,상승,정반대,감소 CNT·상승 건당금액,False
-2.7873190153904708,0.34284611846915525,-1.6015826713736396,0.22703183265908944,-1.2050359916428453,0.3145101294805466,-13.181035323748972,-7.755482026019451,-5.881708113277927,강원특별자치도,동해시,4004,대형할인점,2137040000,42061,202602,-2.341225246044529,1.7716829115351769,감소,감소,감소,상승,정반대,감소 CNT·감소 건당금액,False
3.980385086842817,0.7472644630013838,4.29755489443038,0.7741035093464321,-0.3041009042911902,0.6727712695711092,21.5506001400948,23.4157639011688,-1.5112848651713748,강원특별자치도,동해시,4010,편의점,4478090000,464628,202605,3.609943756357492,1.7716829115351769,상승,상승,감소,상승,같은방향,상승 CNT·감소 건당금액,False
-0.9493977815220952,0.27158311233398014,0.7624329726480157,0.19964353723077388,-1.6988779485254826,0.5641585459539409,-4.657704983880214,3.8707401645319974,-8.210632883623413,강원특별자치도,동해시,4020,슈퍼마켓,7104340000,236095,202601,-0.14481549568454982,1.7716829115351769,감소,상승,감소,상승,정반대,상승 CNT·감소 건당금액,False
3.3889523264868724,0.3861946495930594,2.9112907711515783,0.36807477385029996,0.4641488331902674,0.2693235059539528,18.132847525893784,15.429051499377081,2.3423878056656973,강원특별자치도,동해시,8001,일반한식,10091530000,234114,202605,1.9431150153638694,1.7716829115351769,상승,상승,상승,상승,같은방향,상승 CNT·상승 건당금액,False
14.081470563081815,0.44769286154426113,8.380879936725933,0.16594699852085493,5.259775183301721,0.3034818256340036,93.23044498712345,49.542061569378134,29.214779413400798,강원특별자치도,동해시,8002,갈비전문점,9540000,133,202606,13.135826594867956,1.7716829115351769,상승,상승,상승,상승,같은방향,상승 CNT·상승 건당금액,False
4.57618624892488,0.24934607022372157,3.264823305981088,0.16899923910633963,1.269902858457477,0.1969008284865268,25.07312421530311,17.42539542432136,6.512840568554984,강원특별자치도,동해시,8004,일식회집,924870000,13504,202605,1.7040745766730505,1.7716829115351769,상승,상승,상승,상승,같은방향,상승 CNT·상승 건당금액,False
-1.9644157469563175,0.19710357121045607,-1.695557517008682,0.25299426167452443,-0.2734955035159459,0.037511347717907206,-9.443692189286121,-8.195129454382021,-1.3600179679819948,강원특별자치도,동해시,8005,중국음식,974850000,31474,202605,-4.40003987474578,1.7716829115351769,감소,감소,감소,상승,정반대,감소 CNT·감소 건당금액,False
