TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,AGE_CD,amt,cnt,bc_age_amt_share_pct,bc_age_cnt_share_pct,population_age_share_pct,store_lq,stores_per_10k_residents,store_observed,age_consumption_index,AGE_GROUP,age_supply_type
4004,대형할인점,강원특별자치도,강릉시,2,279350000,6976,6.67886003921006,7.597638807205559,9.687245204067505,,0.0,False,0.7842930210970033,20대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,강릉시,3,623270000,13071,14.901496676708268,14.235770763902503,10.005368173290787,,0.0,False,1.4228132855625168,30대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,강릉시,4,877210000,19127,20.97283986037393,20.831427388965125,12.992760658010116,,0.0,False,1.6033103308281464,40대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,강릉시,5,1072910000,22869,25.651747716731222,24.90688100372476,17.63165586689521,,0.0,False,1.4126229091443048,50대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,강릉시,6,1329860000,29775,31.795055706976523,32.42828203620205,36.83384653501822,,0.0,False,0.8803935805447914,60대 이상,저특화·연령소비과소
4004,대형할인점,강원특별자치도,동해시,2,88730000,2066,4.401398844217367,5.222314906094386,8.620177551895978,,0.0,False,0.6058245174945098,20대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,동해시,3,266170000,4992,13.203204444554675,12.618487904754684,9.37204557411229,,0.0,False,1.346396344850243,30대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,동해시,4,450920000,8413,22.36761824450011,21.265893177624427,13.671845425408208,,0.0,False,1.555451551412598,40대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,동해시,5,526780000,10131,26.130608398025746,25.60855387882005,18.446100594622195,,0.0,False,1.3882909153323173,50대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,동해시,6,683350000,13959,33.897170068702096,35.284750132706456,35.51872681352003,,0.0,False,0.9934125825499884,60대 이상,저특화·연령소비과소
4004,대형할인점,강원특별자치도,삼척시,2,44090000,1349,7.382786336235767,8.769990898452736,9.503804670561102,,0.0,False,0.9227873680546675,20대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,삼척시,3,75370000,1930,12.620562625586068,12.547133012612143,7.656295314247835,,0.0,False,1.6387995104189357,30대,저특화·연령소비과소
4004,대형할인점,강원특별자치도,삼척시,4,130310000,3193,21.820160750167446,20.758028864907036,11.206308433801494,,0.0,False,1.8523520914608032,40대,저특화·연령소비과소
