TPBUZ_NO,TPBUZ_NM,source,mapping_confidence,SIDO_NM,CCG_NM,exposure_active_start,mean_active,openings_6m,closures_6m,active_start_jan,active_end_jun,closure_rate_exposure_pct,opening_rate_exposure_pct,churn_rate_exposure_pct,net_change_6m,net_change_pct_initial,TP_BUZ_NO,TP_BUZ_NM,total_amt_6m,total_cnt_6m,avg_ticket_6m,amt_growth_pct_m,amt_r2,cnt_growth_pct_m,cnt_r2,ticket_growth_pct_m,ticket_r2,peak_month,amt_growth_without_peak_pct_m,peak_dependency,churn_q75,high_churn,churn_type
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,김포시,48,8.0,0,0,8,8,0.0,0.0,0.0,0,0.0,4004,대형할인점,17209660000.0,473928.0,36312.81544876015,-4.246259009711753,0.8523577780016175,-3.1221109740082085,0.6713451968734118,-1.1603762705873704,0.23904989536455482,202601.0,-4.190371083664494,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,남양주시,36,6.0,0,0,6,6,0.0,0.0,0.0,0,0.0,4004,대형할인점,16261310000.0,465962.0,34898.3608105382,-2.387433483808895,0.5098273944724316,-0.25536452476202975,0.013390388668770717,-2.1375274458505804,0.6602905282952376,202601.0,-1.4666073529466837,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,동두천시,12,2.0,0,0,2,2,0.0,0.0,0.0,0,0.0,4004,대형할인점,1044040000.0,29543.0,35339.674372947906,-2.620690266685406,0.6566208756894535,-4.538732815987193,0.8349775603814903,2.0092364221444075,0.4366857772566996,202601.0,-1.9104345196260888,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,부천시 소사구,12,2.0,0,0,2,2,0.0,0.0,0.0,0,0.0,4004,대형할인점,16385470000.0,434410.0,37718.906102529865,-4.942408516432517,0.7414941076317582,-3.6721725413369843,0.7477128358647418,-1.3186594243918062,0.23323095328359567,202601.0,-5.107245008458435,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,부천시 오정구,6,1.0,0,0,1,1,0.0,0.0,0.0,0,0.0,4004,대형할인점,169800000.0,11394.0,14902.580305423908,-21.523042948221295,0.8569315760023652,-17.014701931016095,0.90824863072823,-5.432698468417255,0.529573323100882,202601.0,-20.482697377260926,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,부천시 원미구,36,6.0,0,0,6,6,0.0,0.0,0.0,0,0.0,4004,대형할인점,17209740000.0,455676.0,37767.49269217602,-1.6780959461385758,0.1733954040412292,-1.3228145128070015,0.15205303598251027,-0.36004414959494846,0.04001761072665877,202605.0,-2.980160307436144,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,성남시 분당구,42,7.0,0,0,7,7,0.0,0.0,0.0,0,0.0,4004,대형할인점,23799430000.0,695138.0,34236.98603730482,-2.215079458883914,0.29672805053550305,-1.4574244701002788,0.18079905786944112,-0.7688605505888149,0.18855373602612369,202601.0,-1.6891257054711468,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,수원시 권선구,24,4.0,0,0,4,4,0.0,0.0,0.0,0,0.0,4004,대형할인점,15319650000.0,415890.0,36835.821972156096,-2.874650518873305,0.5347032448677912,-1.2930863948889053,0.258360417408391,-1.602283027824822,0.5826195887669025,202601.0,-2.5618009920528317,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,수원시 영통구,42,7.0,0,0,7,7,0.0,0.0,0.0,0,0.0,4004,대형할인점,5574930000.0,282663.0,19722.88555629849,-7.586416935963978,0.9141110753061422,-4.514105215992868,0.7652689834031462,-3.2175555634900452,0.7641535709226895,202601.0,-6.360480469232755,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,수원시 장안구,18,3.0,0,0,3,3,0.0,0.0,0.0,0,0.0,4004,대형할인점,26732480000.0,699501.0,38216.500047891284,-4.889628415418777,0.6908071890278742,-3.63189606820158,0.6848629697981621,-1.305133437207911,0.46644236936199374,202602.0,-5.589156790700497,False,0.0,False,저회전·정체
