SIDO_NM,CCG_NM,STRD_YYMM,registered_foreigners
전라남도,담양군,202603,1552
전라남도,목포시,202603,4964
전라남도,무안군,202603,2444
전라남도,보성군,202603,1221
전라남도,순천시,202603,3785
전라남도,신안군,202603,1988
전라남도,여수시,202603,7393
전라남도,영광군,202603,1344
전라남도,영암군,202603,10247
전라남도,완도군,202603,5850
전라남도,장성군,202603,1475
전라남도,장흥군,202603,1207
전라남도,진도군,202603,3136
전라남도,함평군,202603,1342
전라남도,해남군,202603,4443
전라남도,화순군,202603,1215
제주특별자치도,서귀포시,202603,10120
제주특별자치도,제주시,202603,18426
충청남도,계룡시,202603,287
충청남도,공주시,202603,3145
충청남도,금산군,202603,3466
충청남도,논산시,202603,7766
충청남도,당진시,202603,8862
충청남도,보령시,202603,4911
충청남도,부여군,202603,2249
충청남도,서산시,202603,6200
충청남도,서천군,202603,2728
충청남도,아산시,202603,25402
충청남도,예산군,202603,4166
충청남도,천안시 동남구,202603,12042
충청남도,천안시 서북구,202603,18137
충청남도,청양군,202603,1153
충청남도,태안군,202603,2366
충청남도,홍성군,202603,4328
충청북도,괴산군,202603,1194
충청북도,단양군,202603,394
충청북도,보은군,202603,838
충청북도,영동군,202603,1130
충청북도,옥천군,202603,1515
충청북도,음성군,202603,15405
충청북도,제천시,202603,3596
충청북도,증평군,202603,1448
충청북도,진천군,202603,9122
충청북도,청주시 상당구,202603,1670
충청북도,청주시 서원구,202603,4420
충청북도,청주시 청원구,202603,7420
충청북도,청주시 흥덕구,202603,7802
충청북도,충주시,202603,6636
강원특별자치도,강릉시,202603,4236
강원특별자치도,고성군,202603,2179
강원특별자치도,동해시,202603,990
강원특별자치도,삼척시,202603,1463
강원특별자치도,속초시,202603,1916
강원특별자치도,양구군,202603,432
강원특별자치도,양양군,202603,518
강원특별자치도,영월군,202603,578
강원특별자치도,원주시,202603,5736
강원특별자치도,인제군,202603,548
강원특별자치도,정선군,202603,376
강원특별자치도,철원군,202603,1001
강원특별자치도,춘천시,202603,5602
강원특별자치도,태백시,202603,341
강원특별자치도,평창군,202603,650
강원특별자치도,홍천군,202603,1147
강원특별자치도,화천군,202603,277
강원특별자치도,횡성군,202603,1388
전북특별자치도,고창군,202603,1956
전북특별자치도,군산시,202603,10422
전북특별자치도,김제시,202603,3657
전북특별자치도,남원시,202603,1435
전북특별자치도,무주군,202603,336
전북특별자치도,부안군,202603,1508
전북특별자치도,순창군,202603,493
전북특별자치도,완주군,202603,5086
전북특별자치도,익산시,202603,7388
전북특별자치도,임실군,202603,460
전북특별자치도,장수군,202603,460
전북특별자치도,전주시 덕진구,202603,7003
전북특별자치도,전주시 완산구,202603,5097
전북특별자치도,정읍시,202603,3784
전북특별자치도,진안군,202603,511
강원특별자치도,강릉시,202606,4421
강원특별자치도,고성군,202606,2506
강원특별자치도,동해시,202606,1003
강원특별자치도,삼척시,202606,1651
강원특별자치도,속초시,202606,1940
강원특별자치도,양구군,202606,642
강원특별자치도,양양군,202606,530
강원특별자치도,영월군,202606,728
강원특별자치도,원주시,202606,5792
강원특별자치도,인제군,202606,1448
강원특별자치도,정선군,202606,939
강원특별자치도,철원군,202606,2041
강원특별자치도,춘천시,202606,5736
강원특별자치도,태백시,202606,717
강원특별자치도,평창군,202606,1828
강원특별자치도,홍천군,202606,2606
강원특별자치도,화천군,202606,681
강원특별자치도,횡성군,202606,2652
경기도,가평군,202606,1400
