SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,amt_share_pct_202601,amt_share_pct_202606,cnt_share_pct_202601,cnt_share_pct_202606,amt_share_change_pp,cnt_share_change_pp
강원특별자치도,강릉시,4004,대형할인점,6.078786427901357,4.477692438883244,3.2255114173348374,2.3400685305783955,-1.6010939890181133,-0.8854428867564419
강원특별자치도,강릉시,4010,편의점,12.528637083596623,14.578301310597459,31.88706983865668,35.69874189172683,2.049664227000836,3.811672053070154
강원특별자치도,강릉시,4020,슈퍼마켓,12.586537578256138,12.633104137907914,9.349139084513006,8.923279181747464,0.04656655965177592,-0.4258599027655414
강원특별자치도,강릉시,8001,일반한식,41.08701219529169,40.810001997017594,23.71455477305909,22.140809123695764,-0.27701019827409823,-1.5737456493633246
강원특별자치도,강릉시,8002,갈비전문점,0.1878982398806359,0.1827198213470977,0.05047271594023217,0.04709066479804052,-0.005178418533538204,-0.0033820511421916513
강원특별자치도,강릉시,8004,일식회집,6.669830780237003,7.22023897157967,1.7624801411881073,1.8633759988685383,0.550408191342667,0.10089585768043108
강원특별자치도,강릉시,8005,중국음식,2.2492811152526047,2.0676420469867627,1.8351405275584418,1.615868750441977,-0.18163906826584197,-0.21927177711646473
강원특별자치도,강릉시,8006,서양음식,12.668864844100133,12.445428214505927,19.613223174090223,19.798811965207552,-0.22343662959420563,0.18558879111732907
강원특별자치도,강릉시,8021,스넥,3.3917024137268714,3.4413569224355447,4.618761623121246,4.189944134078212,0.04965450870867327,-0.4288174890430341
강원특별자치도,강릉시,8301,제과점,2.551449321756946,2.1435141387387886,3.943646704538141,3.382009758857224,-0.40793518301815723,-0.5616369456809167
강원특별자치도,고성군,4010,편의점,22.575712426091187,22.40806519585575,48.856977799785426,49.57935247130423,-0.16764723023543482,0.7223746715188071
강원특별자치도,고성군,4020,슈퍼마켓,1.33310330766456,1.5324747825801404,2.149046793760832,2.4724229745150246,0.19937147491558038,0.3233761807541926
강원특별자치도,고성군,8001,일반한식,41.385800097238125,40.85358845389714,17.623174052983412,17.119011925804937,-0.532211643340986,-0.5041621271784749
강원특별자치도,고성군,8002,갈비전문점,0.07214441429714089,0.026270996272802407,0.021457456466121978,0.012306177701206004,-0.045873418024338475,-0.009151278764915973
강원특별자치도,고성군,8004,일식회집,6.345571744483306,8.808446125301705,1.209870429974416,2.171480992549169,2.4628743808183993,0.9616105625747529
강원특별자치도,고성군,8005,중국음식,2.9234171358667522,2.0190355260493345,2.071469835767929,1.5785469760365156,-0.9043816098174178,-0.4929228597314135
강원특별자치도,고성군,8006,서양음식,19.14022678439799,19.302614511441565,21.49046793760832,22.429686975589018,0.1623877270435763,0.9392190379806991
강원특별자치도,고성군,8021,스넥,4.485500541083107,3.792875086885847,4.204010893785591,3.371892690130446,-0.6926254541972603,-0.8321182036551447
강원특별자치도,고성군,8301,제과점,1.7385235488778406,1.256629321715715,2.3735247998679543,1.2652988163694538,-0.4818942271621256,-1.1082259834985004
강원특별자치도,동해시,4004,대형할인점,7.691156606457715,6.139394138991188,3.4219218596680347,2.727727940115593,-1.551762467466527,-0.6941939195524416
강원특별자치도,동해시,4010,편의점,14.06287722042542,15.684698105933656,33.55215574627656,36.00448114608706,1.6218208855082352,2.4523253998104977
강원특별자치도,동해시,4020,슈퍼마켓,24.84382450882783,22.74623153057686,18.422543775999557,16.931603113038605,-2.097592978250969,-1.490940662960952
강원특별자치도,동해시,8001,일반한식,33.45756875013717,34.72551826746301,18.049854655849927,17.633479592962566,1.2679495173258388,-0.4163750628873615
강원특별자치도,동해시,8002,갈비전문점,0.02533923651084699,0.0418449759875705,0.008292217753638212,0.011033124835564005,0.016505739476723506,0.0027409070819257933
강원특별자치도,동해시,8004,일식회집,3.0522806310467496,3.1668510299482167,1.0489655458352336,1.0252319077970244,0.11457039890146703,-0.02373363803820916
강원특별자치도,동해시,8005,중국음식,3.4128160670711636,2.8809103606998185,2.5364972750851105,2.073378767175605,-0.531905706371345,-0.46311850790950526
강원특별자치도,동해시,8006,서양음식,8.999419392297272,10.327572545821218,16.549423921205506,17.8163748546598,1.328153153523946,1.266950933454293
