SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,external_source,source_scope,amt_growth_pct_m,cnt_growth_pct_m,supply_growth_pct_m,amt_per_supply_growth_pct_m,cnt_per_supply_growth_pct_m,amt_robust,cnt_robust,supply_robust,total_cnt_6m,mean_supply,amt_direction,cnt_direction,supply_direction,cnt_supply_type,amt_supply_type,three_method_robust,quadrant
강원특별자치도,강릉시,4010,편의점,국세청,가동사업자,3.3450625888364844,4.95823962415464,-0.2487334146614772,3.602757264664297,5.219956815647542,True,True,True,1214052.0,332.1666666666667,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,True,증가 소비·정체 공급
강원특별자치도,강릉시,4020,슈퍼마켓,국세청,가동사업자,-0.3559079462610783,1.1445186295577727,-0.1415794126619987,-0.2146324089030222,1.2879214738780356,True,True,True,332683.0,120.66666666666669,감소,증가,정체,증가 소비·정체 공급,감소 소비·정체 공급,True,증가 소비·정체 공급
강원특별자치도,강릉시,8005,중국음식,LOCALDATA,식품인허가 영업점,-1.6861556321247553,-0.1606747473149554,-0.4013141058830082,-1.290018552662103,0.2416089694434978,True,False,True,64489.0,156.0,감소,정체,감소,정체 소비·감소 공급,감소 소비·감소 공급,False,정체 소비·감소 공급
강원특별자치도,강릉시,8301,제과점,LOCALDATA,식품인허가 영업점,-4.685042461388549,-0.668342964765899,0.5934644530969102,-5.247365664542358,-1.2543632180509592,True,False,True,135709.0,145.0,감소,감소,증가,감소 소비·증가 공급,감소 소비·증가 공급,False,감소 소비·증가 공급
강원특별자치도,고성군,4010,편의점,국세청,가동사업자,9.14101046150209,10.513609744693223,0.609846529734009,8.479452286259912,9.843731559646402,True,True,True,206381.0,70.83333333333333,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
강원특별자치도,고성군,4020,슈퍼마켓,국세청,가동사업자,11.9701982156871,13.357120348104567,-1.1891025989069464,13.317661473286504,14.72127399872253,True,True,True,10443.0,21.5,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,True,증가 소비·감소 공급
강원특별자치도,고성군,8005,중국음식,LOCALDATA,식품인허가 영업점,1.6437913351177484,4.076235395505926,0.0,1.6437913351177431,4.076235395505917,True,True,False,8231.0,26.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
강원특별자치도,고성군,8301,제과점,LOCALDATA,식품인허가 영업점,-0.4845824167579433,-5.2811776774805255,-0.4015309578319205,-0.0833862806573949,-4.899319002165243,True,True,False,7719.0,16.0,감소,감소,감소,감소 소비·감소 공급,감소 소비·감소 공급,False,감소 소비·감소 공급
강원특별자치도,동해시,4010,편의점,국세청,가동사업자,3.9803850868426913,4.297554894430338,-0.4345514766696415,4.4342054688558115,4.752759557941557,True,True,True,464628.0,124.83333333333331,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,True,증가 소비·감소 공급
강원특별자치도,동해시,4020,슈퍼마켓,국세청,가동사업자,-0.9493977815222616,0.7624329726479656,0.1955559143385326,-1.1427190411914416,0.5657706603215921,True,True,False,236095.0,58.666666666666664,감소,증가,정체,증가 소비·정체 공급,감소 소비·정체 공급,False,증가 소비·정체 공급
