industry,model,n,closures,group_cv_roc_auc,group_cv_average_precision,baseline_closure_rate
제과점,A_업력,19667,1034,0.611279477427218,0.07674652119624575,0.05257538007830376
제과점,B_점포구조,19667,1034,0.655789249351803,0.1186648597196487,0.05257538007830376
제과점,C_점포+소비,19667,1034,0.651736364248825,0.1170814596621375,0.05257538007830376
제과점,D_점포+소비+시도임대,19667,1034,0.6494953785639153,0.1153204836035795,0.05257538007830376
중국음식,A_업력,26237,940,0.6147351170225381,0.05069058503698251,0.035827266836909705
중국음식,B_점포구조,26237,940,0.628346519938871,0.061081275045018285,0.035827266836909705
중국음식,C_점포+소비,26237,940,0.6322663775622204,0.06211183624727772,0.035827266836909705
중국음식,D_점포+소비+시도임대,26237,940,0.6318277165150353,0.06252289365825041,0.035827266836909705
