TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,foreign_amt_6m,foreign_cnt_6m,foreign_amt_growth_pct_m,foreign_cnt_growth_pct_m,foreign_amt_change_mar_jun_pct,foreign_cnt_change_mar_jun_pct,all_amt,all_cnt,foreign_amt_share_pct,foreign_cnt_share_pct,registered_foreigner_change_pct,store_lq
4004,대형할인점,강원특별자치도,강릉시,234870000,6051,-9.41553774742557,-7.238200750368034,-30.65710319296622,-27.12962962962962,4517360000,101401,5.199275683142366,5.967396771234998,4.367327667610937,
4004,대형할인점,강원특별자치도,동해시,90890000,1756,-2.3990173863926443,-1.5198389973654338,1.5646258503401356,1.8115942028985614,2137040000,42061,4.253079025193726,4.174888851905566,1.3131313131313078,
4004,대형할인점,강원특별자치도,삼척시,42320000,933,-26.205097826500705,-19.20795017848183,-70.7201889020071,-58.37837837837838,652120000,16767,6.489603140526283,5.5645016997674,12.850307587149686,
4004,대형할인점,강원특별자치도,속초시,348710000,8153,-0.6475945645376412,2.783168555798987,9.555125725338499,3.6603221083455253,4517840000,107901,7.718511501071308,7.556000407781206,1.2526096033402894,
4004,대형할인점,강원특별자치도,영월군,19880000,1066,6.631456470748372,6.452441197188402,36.330935251798564,30.32258064516128,235390000,9554,8.445558434937762,11.157630311911241,25.951557093425606,
4004,대형할인점,강원특별자치도,원주시,346440000,9143,-5.063073954816956,-2.760225598684751,-19.079903147699767,-15.698393077873916,5770450000,164806,6.00369121992219,5.547734912563863,0.9762900976290041,
4004,대형할인점,강원특별자치도,춘천시,368430000,8151,-2.158722526286801,-0.6264254957153725,-13.338829348722186,-11.237553342816497,8809520000,195677,4.182180186888729,4.165538106164751,2.392002856122815,
4004,대형할인점,강원특별자치도,태백시,85790000,1520,1.1285076289786566,0.9998683266992335,41.754385964912274,10.245901639344268,1039000000,21491,8.256977863330125,7.072728118747383,110.26392961876832,
4004,대형할인점,강원특별자치도,평창군,25360000,942,3.3280071003114733,7.102180544457686,32.48081841432224,20.625,233690000,9128,10.851983396807736,10.319894829097283,181.23076923076923,
4004,대형할인점,강원특별자치도,홍천군,21630000,1017,15.522355483238204,13.704311474949755,83.14176245210726,42.666666666666686,233600000,10709,9.259417808219178,9.4966850312821,127.20139494333043,
4004,대형할인점,경기도,고양시 덕양구,1032380000,25738,-5.18603798643252,-1.5274937108270927,-17.135869874310416,-4.805491990846676,32318320000,881527,3.194411095626258,2.9197063731456896,2.602550844536381,
4004,대형할인점,경기도,고양시 일산동구,484950000,14075,-1.8746302957084349,-0.4555213496850453,-9.246358454718177,-11.683006535947712,12046060000,358698,4.025797646699418,3.923913710140564,2.3353671365453437,
4004,대형할인점,경기도,고양시 일산서구,323100000,10124,-4.194392616098594,-3.20743835635098,-10.626044956344046,-13.008595988538687,9095510000,266631,3.5523021798667695,3.7970078497999102,0.35606683100519376,
