TP_BUZ_NM_CLEAN,rows,months,regions,value_missing_pct,masked_pct,role
슈퍼마켓,1525,6,258,0.39344262295081966,0.39344262295081966,활성 사업자 분모·추세 validation; 직접 폐업 라벨 아님
편의점,1525,6,258,0.39344262295081966,0.39344262295081966,활성 사업자 분모·추세 validation; 직접 폐업 라벨 아님
