"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년02월_계_총인구수","2026년02월_계_연령구간인구수","2026년02월_계_0~9세","2026년02월_계_10~19세","2026년02월_계_20~29세","2026년02월_계_30~39세","2026년02월_계_40~49세","2026년02월_계_50~59세","2026년02월_계_60~69세","2026년02월_계_70~79세","2026년02월_계_80~89세","2026년02월_계_90~99세","2026년02월_계_100세 이상","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상"
"서울특별시 도봉구 (1132000000)","299,545","299,545","11,731","21,157","33,122","37,202","39,550","51,922","53,183","33,402","15,838","2,366","72","299,295","299,295","11,649","21,105","32,983","37,082","39,446","51,857","53,213","33,602","15,894","2,392","72","299,065","299,065","11,572","21,113","32,852","37,084","39,262","51,695","53,236","33,828","15,937","2,412","74","298,839","298,839","11,547","21,039","32,676","37,090","39,175","51,584","53,305","33,971","15,947","2,432","73","298,571","298,571","11,464","20,982","32,501","37,126","39,133","51,438","53,325","34,108","15,972","2,451","71","298,225","298,225","11,439","20,951","32,350","37,078","39,091","51,340","53,244","34,179","16,023","2,457","73"
"서울특별시 노원구 (1135000000)","482,461","482,461","22,746","43,825","60,581","61,089","68,741","83,777","72,411","45,075","20,658","3,472","86","482,293","482,293","22,719","43,908","60,296","60,931","68,772","83,654","72,414","45,358","20,663","3,493","85","482,487","482,487","22,652","44,192","60,387","61,151","68,484","83,212","72,445","45,611","20,720","3,547","86","482,097","482,097","22,628","43,940","60,257","61,403","68,285","83,019","72,371","45,782","20,746","3,580","86","481,589","481,589","22,468","43,764","60,170","61,561","68,066","82,780","72,351","45,920","20,828","3,597","84","481,053","481,053","22,430","43,514","59,934","61,844","67,968","82,545","72,260","46,015","20,870","3,588","85"
"서울특별시 은평구 (1138000000)","454,860","454,860","20,290","33,520","55,567","66,789","64,403","76,701","69,024","44,266","21,250","2,977","73","454,341","454,341","20,101","33,401","55,361","66,632","64,241","76,652","69,056","44,531","21,269","3,020","77","454,109","454,109","20,056","33,334","55,080","66,801","63,989","76,475","69,092","44,799","21,327","3,081","75","453,550","453,550","19,954","33,224","54,820","66,824","63,826","76,308","69,113","44,876","21,409","3,123","73","453,398","453,398","19,837","33,145","54,686","66,960","63,682","76,204","69,147","45,009","21,508","3,145","75","453,212","453,212","19,784","33,079","54,464","67,057","63,699","76,113","69,118","45,119","21,548","3,157","74"
"서울특별시 서대문구 (1141000000)","299,942","299,942","15,113","21,683","44,714","45,036","41,990","47,684","41,789","25,865","13,866","2,147","55","300,175","300,175","15,031","21,859","44,784","44,926","41,981","47,659","41,863","25,971","13,866","2,180","55","300,594","300,594","14,952","21,978","44,908","45,159","41,851","47,567","41,912","26,127","13,873","2,215","52","300,395","300,395","14,907","21,896","44,731","45,353","41,794","47,479","41,925","26,180","13,845","2,233","52","300,236","300,236","14,864","21,833","44,642","45,432","41,678","47,417","41,918","26,262","13,873","2,262","55","299,810","299,810","14,883","21,698","44,450","45,494","41,609","47,306","41,843","26,304","13,906","2,262","55"
"서울특별시 마포구 (1144000000)","357,232","357,232","18,168","25,687","54,339","64,551","54,473","55,803","42,695","25,593","13,652","2,224","47","357,136","357,136","18,058","25,754","54,289","64,380","54,475","55,809","42,693","25,748","13,646","2,239","45","356,966","356,966","17,975","25,727","54,160","64,534","54,242","55,715","42,682","25,972","13,651","2,258","50","356,894","356,894","17,967","25,716","53,961","64,601","54,193","55,740","42,712","26,041","13,632","2,280","51","356,856","356,856","17,942","25,688","53,819","64,651","54,121","55,794","42,694","26,118","13,666","2,313","50","356,487","356,487","17,856","25,644","53,618","64,549","54,121","55,772","42,674","26,183","13,689","2,331","50"
"서울특별시 양천구 (1147000000)","424,606","424,606","22,542","46,250","46,414","51,695","69,320","71,934","62,323","37,843","14,019","2,201","65","424,499","424,499","22,633","46,116","46,129","51,600","69,452","71,762","62,375","38,073","14,069","2,223","67","423,666","423,666","22,532","45,931","45,775","51,668","69,101","71,492","62,346","38,364","14,149","2,242","66","422,900","422,900","22,422","45,777","45,475","51,656","68,862","71,361","62,387","38,479","14,141","2,273","67","422,070","422,070","22,300","45,670","45,151","51,578","68,662","71,184","62,347","38,639","14,182","2,293","64","421,247","421,247","22,175","45,595","44,916","51,502","68,533","71,015","62,194","38,717","14,254","2,284","62"
"서울특별시 강서구 (1150000000)","549,536","549,536","26,525","40,069","71,210","96,222","81,618","81,413","78,922","50,431","19,739","3,287","100","549,050","549,050","26,389","39,939","70,904","95,950","81,643","81,376","78,897","50,710","19,822","3,321","99","548,985","548,985","26,291","39,894","70,548","96,362","81,367","81,160","78,882","51,135","19,880","3,368","98","548,716","548,716","26,206","39,839","70,279","96,449","81,260","81,071","78,845","51,344","19,926","3,399","98","548,622","548,622","26,163","39,777","69,924","96,591","81,276","80,990","78,760","51,605","20,016","3,424","96","548,515","548,515","26,101","39,803","69,662","96,634","81,283","81,016","78,639","51,753","20,113","3,413","98"
"서울특별시 구로구 (1153000000)","383,226","383,226","19,426","26,924","45,706","61,397","54,598","59,975","57,927","38,947","16,115","2,167","44","382,800","382,800","19,242","26,865","45,596","61,292","54,425","60,005","57,873","39,123","16,135","2,199","45","382,836","382,836","19,196","26,870","45,495","61,453","54,281","59,724","57,941","39,364","16,236","2,232","44","382,718","382,718","19,153","26,818","45,288","61,624","54,190","59,694","57,876","39,501","16,284","2,248","42","382,652","382,652","19,102","26,772","45,057","61,836","54,141","59,616","57,860","39,615","16,349","2,261","43","382,633","382,633","19,065","26,704","45,049","61,915","54,106","59,519","57,816","39,741","16,407","2,266","45"
"서울특별시 금천구 (1154500000)","223,012","223,012","8,262","12,023","31,419","39,776","27,501","34,992","36,992","21,621","9,164","1,238","24","222,809","222,809","8,174","11,982","31,310","39,762","27,456","34,885","37,050","21,751","9,172","1,242","25","222,712","222,712","8,145","11,949","31,218","39,874","27,391","34,637","37,106","21,880","9,220","1,268","24","222,726","222,726","8,122","11,937","31,107","39,993","27,372","34,548","37,089","22,000","9,257","1,277","24","222,655","222,655","8,073","11,911","31,020","40,075","27,351","34,461","37,087","22,066","9,300","1,288","23","222,503","222,503","8,062","11,874","30,857","40,127","27,353","34,335","37,137","22,109","9,334","1,290","25"
"서울특별시 영등포구 (1156000000)","371,228","371,228","19,649","22,351","52,482","74,205","52,073","53,859","48,914","31,008","14,410","2,221","56","371,055","371,055","19,474","22,363","52,384","74,050","52,080","53,909","48,941","31,105","14,444","2,250","55","371,177","371,177","19,465","22,325","52,327","74,412","51,885","53,695","49,033","31,232","14,460","2,288","55","371,471","371,471","19,502","22,332","52,085","74,788","51,862","53,713","49,069","31,288","14,458","2,320","54","371,772","371,772","19,496","22,349","51,858","75,027","51,919","53,741","49,111","31,383","14,500","2,335","53","371,867","371,867","19,539","22,351","51,706","75,168","51,992","53,677","49,045","31,466","14,550","2,321","52"
