model,folds,micro_f1_mean,macro_f1_mean,macro_auc_mean,macro_ap_mean
snapshot_logistic,2,0.3222775967820884,0.31573923430585127,0.5229538738466847,0.2587830311047884
temporal_3m_logistic,2,0.3563777281630187,0.3511751507588292,0.5863425567153655,0.31501521959934464
temporal_3m_random_forest,2,0.30377459042738114,0.2523587014872701,0.6036437965331133,0.3129919498403474
