BC업종,SEMAS소분류코드,SEMAS소분류명,매핑신뢰도,API관측업종명,전국점포수,시도코드,시도,시군구코드,시군구,점포수
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41287,고양시 일산서구,230
편의점,G20405,편의점,HIGH,편의점,54446,50,제주특별자치도,50130,서귀포시,433
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41461,용인시 처인구,444
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43745,증평군,52
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28185,연수구,345
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26350,해운대구,295
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27230,북구,352
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44710,금산군,47
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52111,전주시 완산구,321
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26380,사하구,217
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48170,진주시,335
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41273,안산시 단원구,447
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26500,수영구,167
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43114,청주시 청원구,273
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47113,포항시 북구,277
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52113,전주시 덕진구,358
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44810,예산군,105
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41173,안양시 동안구,284
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48240,사천시,126
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48820,고성군,49
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41360,남양주시,661
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41194,부천시 소사구,178
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52190,남원시,64
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26440,강서구,187
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41113,수원시 권선구,349
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41595,화성시 병점구,149
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51130,원주시,505
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48270,밀양시,105
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52140,익산시,260
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12790,해남군,75
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51170,동해시,123
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26230,부산진구,362
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28125,제물포구,132
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11305,강북구,265
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28200,남동구,479
편의점,G20405,편의점,HIGH,편의점,54446,30,대전광역시,30140,중구,215
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43130,충주시,270
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47230,영천시,91
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11650,서초구,481
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26530,사상구,195
편의점,G20405,편의점,HIGH,편의점,54446,31,울산광역시,31170,동구,157
편의점,G20405,편의점,HIGH,편의점,54446,31,울산광역시,31110,중구,157
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27170,서구,141
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44200,아산시,496
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47850,칠곡군,163
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51110,춘천시,373
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48730,함안군,65
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44133,천안시 서북구,554
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11290,성북구,330
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11380,은평구,326
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41410,군포시,232
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47830,고령군,36
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11740,강동구,346
편의점,G20405,편의점,HIGH,편의점,54446,30,대전광역시,30200,유성구,380
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51820,고성군,71
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27260,수성구,291
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41150,의정부시,484
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12150,순천시,251
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41131,성남시 수정구,256
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41210,광명시,194
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51230,삼척시,102
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12780,강진군,28
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47900,예천군,34
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28710,강화군,119
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26410,금정구,180
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52130,군산시,290
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41570,김포시,545
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48125,창원시 마산합포구,159
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27200,남구,149
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44180,보령시,161
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48220,통영시,143
편의점,G20405,편의점,HIGH,편의점,54446,30,대전광역시,30230,대덕구,167
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51790,화천군,33
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12130,여수시,345
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12720,곡성군,22
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12300,북구,383
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47150,김천시,140
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28245,계양구,258
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28155,영종구,206
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47250,상주시,74
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41610,광주시,457
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26710,기장군,178
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28177,미추홀구,438
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41597,화성시 동탄구,337
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27140,동구,269
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41630,양주시,339
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48860,산청군,20
편의점,G20405,편의점,HIGH,편의점,54446,30,대전광역시,30170,서구,471
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48330,양산시,349
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43112,청주시 서원구,188
편의점,G20405,편의점,HIGH,편의점,54446,36,세종특별자치시,36110,세종특별자치시,318
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26290,남구,174
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26470,연제구,147
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43750,진천군,154
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44230,논산시,115
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41111,수원시 장안구,241
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12850,완도군,51
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41171,안양시 만안구,203
편의점,G20405,편의점,HIGH,편의점,54446,11,서울특별시,11320,도봉구,239
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41820,가평군,152
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12240,서구,290
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43760,괴산군,36
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41117,수원시 영통구,309
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41133,성남시 중원구,208
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26320,북구,153
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48850,하동군,37
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51720,홍천군,83
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26110,중구,87
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27710,달성군,216
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12110,목포시,243
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52710,완주군,91
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51800,양구군,26
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41593,화성시 효행구,207
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41370,오산시,277
편의점,G20405,편의점,HIGH,편의점,54446,28,인천광역시,28720,옹진군,36
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51750,영월군,49
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51760,평창군,78
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47750,청송군,16
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12170,나주시,109
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26140,서구,82
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41290,과천시,73
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12770,장흥군,29
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51730,횡성군,55
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12710,담양군,25
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43730,옥천군,51
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51810,인제군,55
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51780,철원군,57
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48840,남해군,65
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52180,정읍시,94
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43111,청주시 상당구,183
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44825,태안군,123
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41830,양평군,152
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47730,의성군,23
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48740,창녕군,59
편의점,G20405,편의점,HIGH,편의점,54446,41,경기도,41430,의왕시,131
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26260,동래구,177
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47280,문경시,70
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51830,양양군,77
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44760,부여군,54
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12740,고흥군,48
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48880,거창군,57
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52790,고창군,49
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51770,정선군,75
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44800,홍성군,105
편의점,G20405,편의점,HIGH,편의점,54446,26,부산광역시,26200,영도구,82
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44250,계룡시,36
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52210,김제시,81
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47930,울진군,61
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47170,안동시,146
편의점,G20405,편의점,HIGH,편의점,54446,51,강원특별자치도,51190,태백시,58
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12820,함평군,18
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12730,구례군,16
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47770,영덕군,43
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12840,장성군,33
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47210,영주시,71
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12750,보성군,27
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47760,영양군,8
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44770,서천군,41
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12270,남구,148
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52800,부안군,58
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48720,의령군,13
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12860,진도군,31
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12760,화순군,33
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43720,보은군,24
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47940,울릉군,16
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52750,임실군,19
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43800,단양군,28
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47920,봉화군,10
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47840,성주군,43
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52730,무주군,31
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12870,신안군,18
