source,SIDO_NM,closed_state,closed_state_missing_date,missing_pct
LOCALDATA 일반음식점,전북특별자치도,51458,1,0.0019433324264448676
LOCALDATA 일반음식점,제주특별자치도,23506,3,0.012762698885390963
LOCALDATA 일반음식점,충청남도,59088,0,0.0
LOCALDATA 일반음식점,충청북도,56213,4,0.0071157917207763325
LOCALDATA 일반음식점,,162,0,0.0
LOCALDATA 제과점영업,강원특별자치도,1436,0,0.0
LOCALDATA 제과점영업,경기도,11160,0,0.0
LOCALDATA 제과점영업,경상남도,2987,0,0.0
LOCALDATA 제과점영업,경상북도,2172,0,0.0
LOCALDATA 제과점영업,광주광역시,1483,0,0.0
LOCALDATA 제과점영업,대구광역시,3000,0,0.0
LOCALDATA 제과점영업,대전광역시,1763,0,0.0
LOCALDATA 제과점영업,부산광역시,2957,0,0.0
LOCALDATA 제과점영업,서울특별시,12492,0,0.0
LOCALDATA 제과점영업,세종특별자치시,176,0,0.0
LOCALDATA 제과점영업,울산광역시,875,0,0.0
LOCALDATA 제과점영업,인천광역시,2391,0,0.0
LOCALDATA 제과점영업,전라남도,1384,0,0.0
LOCALDATA 제과점영업,전북특별자치도,1314,0,0.0
LOCALDATA 제과점영업,제주특별자치도,803,0,0.0
LOCALDATA 제과점영업,충청남도,1832,0,0.0
LOCALDATA 제과점영업,충청북도,1238,0,0.0
LOCALDATA 제과점영업,,3,0,0.0
LOCALDATA 휴게음식점,강원특별자치도,14506,0,0.0
LOCALDATA 휴게음식점,경기도,96667,1,0.001034479191451064
LOCALDATA 휴게음식점,경상남도,29887,0,0.0
LOCALDATA 휴게음식점,경상북도,23660,0,0.0
LOCALDATA 휴게음식점,광주광역시,11587,0,0.0
LOCALDATA 휴게음식점,대구광역시,21833,0,0.0
LOCALDATA 휴게음식점,대전광역시,12450,1,0.008032128514056224
LOCALDATA 휴게음식점,부산광역시,26925,4,0.014856081708449398
LOCALDATA 휴게음식점,서울특별시,110066,4,0.003634183126487744
LOCALDATA 휴게음식점,세종특별자치시,1801,0,0.0
LOCALDATA 휴게음식점,울산광역시,10530,0,0.0
LOCALDATA 휴게음식점,인천광역시,19277,0,0.0
LOCALDATA 휴게음식점,전라남도,15350,0,0.0
LOCALDATA 휴게음식점,전북특별자치도,14831,0,0.0
LOCALDATA 휴게음식점,제주특별자치도,8760,0,0.0
LOCALDATA 휴게음식점,충청남도,15776,0,0.0
LOCALDATA 휴게음식점,충청북도,13006,0,0.0
LOCALDATA 휴게음식점,,19,0,0.0
