BC업종,시도코드,시도,시군구코드,시군구,점포수
갈비전문점,41,경기도,41430,의왕시,97
갈비전문점,41,경기도,41450,하남시,260
갈비전문점,41,경기도,41461,용인시 처인구,381
갈비전문점,41,경기도,41463,용인시 기흥구,269
갈비전문점,41,경기도,41465,용인시 수지구,179
갈비전문점,41,경기도,41480,파주시,503
갈비전문점,41,경기도,41500,이천시,296
갈비전문점,41,경기도,41550,안성시,274
갈비전문점,41,경기도,41570,김포시,437
갈비전문점,41,경기도,41591,화성시 만세구,300
갈비전문점,41,경기도,41593,화성시 효행구,141
갈비전문점,41,경기도,41595,화성시 병점구,132
갈비전문점,41,경기도,41597,화성시 동탄구,328
갈비전문점,41,경기도,41610,광주시,387
갈비전문점,41,경기도,41630,양주시,283
갈비전문점,41,경기도,41650,포천시,307
갈비전문점,41,경기도,41670,여주시,180
갈비전문점,41,경기도,41800,연천군,74
갈비전문점,41,경기도,41820,가평군,146
갈비전문점,41,경기도,41830,양평군,155
갈비전문점,43,충청북도,43111,청주시 상당구,282
갈비전문점,43,충청북도,43112,청주시 서원구,261
갈비전문점,43,충청북도,43113,청주시 흥덕구,438
갈비전문점,43,충청북도,43114,청주시 청원구,296
갈비전문점,43,충청북도,43130,충주시,343
갈비전문점,43,충청북도,43150,제천시,280
갈비전문점,43,충청북도,43720,보은군,40
갈비전문점,43,충청북도,43730,옥천군,63
갈비전문점,43,충청북도,43740,영동군,75
갈비전문점,43,충청북도,43745,증평군,60
갈비전문점,43,충청북도,43750,진천군,131
갈비전문점,43,충청북도,43760,괴산군,60
갈비전문점,43,충청북도,43770,음성군,169
갈비전문점,43,충청북도,43800,단양군,61
갈비전문점,44,충청남도,44131,천안시 동남구,361
갈비전문점,44,충청남도,44133,천안시 서북구,576
갈비전문점,44,충청남도,44150,공주시,143
갈비전문점,44,충청남도,44180,보령시,151
갈비전문점,44,충청남도,44200,아산시,439
갈비전문점,44,충청남도,44210,서산시,268
갈비전문점,44,충청남도,44230,논산시,160
갈비전문점,44,충청남도,44250,계룡시,52
갈비전문점,44,충청남도,44270,당진시,252
갈비전문점,44,충청남도,44710,금산군,83
갈비전문점,44,충청남도,44760,부여군,80
갈비전문점,44,충청남도,44770,서천군,38
갈비전문점,44,충청남도,44790,청양군,56
갈비전문점,44,충청남도,44800,홍성군,147
갈비전문점,44,충청남도,44810,예산군,128
갈비전문점,44,충청남도,44825,태안군,84
갈비전문점,47,경상북도,47111,포항시 남구,417
갈비전문점,47,경상북도,47113,포항시 북구,339
갈비전문점,47,경상북도,47130,경주시,524
갈비전문점,47,경상북도,47150,김천시,227
갈비전문점,47,경상북도,47170,안동시,293
갈비전문점,47,경상북도,47190,구미시,617
갈비전문점,47,경상북도,47210,영주시,207
갈비전문점,47,경상북도,47230,영천시,153
갈비전문점,47,경상북도,47250,상주시,180
갈비전문점,47,경상북도,47280,문경시,154
갈비전문점,47,경상북도,47290,경산시,353
갈비전문점,47,경상북도,47730,의성군,69
